Response_ID,Field_Date,Wave,Cohort,DMA,State,Primary_Occasion,Skip_Cereal_3plus_Mornings,Cite_Protein_As_Swap_Driver,Intent_Add_Protein_Morning_0to10,Skip_Frequency_Mornings_Per_Wk,Chocolate_Breakfast_Pref,GLP1_Adjacent,HOH_Age_Band,Income_Band,Presence_Of_Kids_5_14,Vendor,Respondent_Weight
UA_000023,2026-04-08,2026Q2,cereal-skipper,DET,MI,post-workout,1,1,6.7,3.1,0,1,35-44,30-50K,0,Ipsos,1.0947
UA_000024,2026-04-08,2026Q2,cereal-skipper,SFO,CA,afternoon-snack,1,1,7.2,4.4,1,1,55-64,<30K,0,Ipsos,1.2604
UA_000025,2026-04-08,2026Q2,cereal-skipper,CHI,IL,weekend-am,1,1,5.4,2.9,0,0,45-54,100-150K,1,Ipsos,0.7464
UA_000026,2026-04-08,2026Q2,cereal-skipper,PHX,AZ,afternoon-snack,1,0,8.4,5.3,0,0,18-24,150K+,0,Ipsos,1.3439
UA_000027,2026-04-08,2026Q2,cereal-skipper,PHL,PA,post-workout,1,0,4.7,3.4,0,1,35-44,100-150K,0,Ipsos,1.0638
UA_000028,2026-04-08,2026Q2,cereal-skipper,HOU,TX,weekend-am,1,1,6.4,3.2,0,0,65+,<30K,1,Ipsos,1.3341
UA_000029,2026-04-08,2026Q2,cereal-skipper,SEA,WA,weekday-am,1,0,6.6,4.7,1,0,45-54,100-150K,1,Ipsos,1.2207
UA_000030,2026-04-08,2026Q2,cereal-skipper,WAS,DC,afternoon-snack,1,0,6.4,2.1,0,0,18-24,100-150K,1,Ipsos,1.0322
UA_000031,2026-04-08,2026Q2,cereal-skipper,PHL,PA,weekend-am,1,1,8.2,5.6,1,1,25-34,50-75K,1,Ipsos,0.7095
UA_000032,2026-04-08,2026Q2,cereal-skipper,AL-DMA,AL,weekday-am,1,0,8.3,4.1,1,0,45-54,100-150K,0,Ipsos,0.7839
UA_000033,2026-04-08,2026Q2,cereal-skipper,NYC,NY,evening,1,1,7.2,4.7,0,0,55-64,50-75K,1,Ipsos,0.6295
UA_000034,2026-04-08,2026Q2,cereal-skipper,MIN,MN,weekday-am,1,0,7.3,6.6,0,1,55-64,30-50K,1,Ipsos,1.1459
UA_000035,2026-04-08,2026Q2,cereal-skipper,AL-DMA,AL,post-workout,1,1,8.7,2.7,0,0,55-64,50-75K,1,Ipsos,0.9972
UA_000036,2026-04-08,2026Q2,cereal-skipper,CLE,OH,weekend-am,1,0,6.1,3.8,1,0,45-54,30-50K,0,Ipsos,1.0119
UA_000037,2026-04-08,2026Q2,cereal-skipper,STL,MO,post-workout,1,1,8.8,3.7,1,0,25-34,100-150K,0,Ipsos,0.997
UA_000038,2026-04-08,2026Q2,cereal-skipper,OK-DMA,OK,evening,1,1,9.3,5.0,0,0,45-54,30-50K,1,Ipsos,1.3624
UA_000039,2026-04-08,2026Q2,cereal-skipper,OK-DMA,OK,evening,1,1,10.0,2.5,0,1,45-54,50-75K,1,Ipsos,1.1188
UA_000040,2026-04-08,2026Q2,cereal-skipper,CHI,IL,post-workout,1,0,7.9,4.6,0,1,55-64,50-75K,1,Ipsos,1.3355
UA_000041,2026-04-08,2026Q2,cereal-skipper,BIR-DMA,AL,afternoon-snack,1,1,10.0,4.1,0,0,18-24,75-100K,1,Ipsos,0.9324
UA_000042,2026-04-08,2026Q2,cereal-skipper,KAN,MO,weekend-am,1,1,8.0,6.1,1,0,45-54,<30K,1,Ipsos,1.2208
UA_000043,2026-04-08,2026Q2,cereal-skipper,LAX,CA,weekend-am,1,1,6.8,3.1,0,0,35-44,75-100K,0,Ipsos,1.0264
UA_000044,2026-04-08,2026Q2,cereal-skipper,CIN,OH,weekday-am,1,1,10.0,4.0,1,0,65+,30-50K,0,Ipsos,1.0629
UA_000045,2026-04-08,2026Q2,cereal-skipper,PIT,PA,weekend-am,1,0,8.8,4.1,0,0,35-44,75-100K,1,Ipsos,1.3822
UA_000046,2026-04-08,2026Q2,cereal-skipper,PHL,PA,post-workout,1,1,5.8,4.1,0,0,18-24,100-150K,1,Ipsos,0.9541
UA_000047,2026-04-08,2026Q2,cereal-skipper,CHI,IL,post-workout,1,0,10.0,0.9,1,0,55-64,30-50K,0,Ipsos,0.6726
UA_000048,2026-04-08,2026Q2,cereal-skipper,NYC,NY,weekend-am,1,1,10.0,2.4,0,0,65+,30-50K,1,Ipsos,1.3584
UA_000049,2026-04-08,2026Q2,cereal-skipper,CIN,OH,post-workout,1,1,7.2,5.8,0,0,35-44,150K+,1,Ipsos,0.9576
UA_000050,2026-04-08,2026Q2,cereal-skipper,DET,MI,weekend-am,1,1,7.8,6.3,0,1,18-24,<30K,0,Ipsos,0.8211
UA_000051,2026-04-08,2026Q2,cereal-skipper,HOU,TX,evening,1,0,6.7,5.4,0,0,35-44,100-150K,0,Ipsos,1.0221
UA_000052,2026-04-08,2026Q2,cereal-skipper,AR-DMA,AR,afternoon-snack,1,0,8.2,5.8,0,0,25-34,75-100K,1,Ipsos,0.7671
UA_000053,2026-04-08,2026Q2,cereal-skipper,PIT,PA,weekday-am,1,0,6.6,3.7,0,0,25-34,150K+,1,Ipsos,0.8622
UA_000054,2026-04-08,2026Q2,cereal-skipper,MIN,MN,evening,1,0,5.0,4.4,0,0,45-54,100-150K,1,Ipsos,0.6167
UA_000055,2026-04-08,2026Q2,cereal-skipper,DEN,CO,weekend-am,1,1,6.7,4.8,1,1,65+,100-150K,0,Ipsos,1.2131
UA_000056,2026-04-08,2026Q2,cereal-skipper,BOS,MA,post-workout,1,1,6.6,2.8,0,0,35-44,150K+,0,Ipsos,1.2765
UA_000057,2026-04-08,2026Q2,cereal-skipper,NYC,NY,weekday-am,1,1,8.6,5.0,1,0,45-54,150K+,0,Ipsos,0.7412
UA_000058,2026-04-08,2026Q2,cereal-skipper,CLE,OH,post-workout,1,0,9.1,2.1,0,0,25-34,150K+,0,Ipsos,0.942
UA_000059,2026-04-08,2026Q2,cereal-skipper,OK-DMA,OK,afternoon-snack,1,0,8.0,3.4,0,0,55-64,30-50K,1,Ipsos,1.0447
UA_000060,2026-04-08,2026Q2,cereal-skipper,MS-DMA,MS,weekend-am,1,1,6.1,5.8,0,0,65+,30-50K,1,Ipsos,1.1606
UA_000061,2026-04-08,2026Q2,cereal-skipper,BIR-DMA,AL,afternoon-snack,1,1,5.6,3.7,0,1,18-24,30-50K,0,Ipsos,1.3383
UA_000062,2026-04-08,2026Q2,cereal-skipper,BOS,MA,weekend-am,1,1,7.8,5.2,0,0,25-34,150K+,0,Ipsos,1.335
UA_000063,2026-04-08,2026Q2,cereal-skipper,HOU,TX,evening,1,1,6.2,4.1,1,0,65+,50-75K,1,Ipsos,1.3503
UA_000064,2026-04-08,2026Q2,cereal-skipper,WAS,DC,post-workout,1,1,6.9,4.1,1,1,25-34,<30K,1,Ipsos,1.1409
UA_000065,2026-04-08,2026Q2,cereal-skipper,CLE,OH,weekday-am,1,0,7.0,5.8,1,0,35-44,75-100K,0,Ipsos,1.3297
UA_000066,2026-04-08,2026Q2,cereal-skipper,LAX,CA,post-workout,1,1,8.1,2.8,0,0,45-54,100-150K,0,Ipsos,1.1966
UA_000067,2026-04-08,2026Q2,cereal-skipper,AR-DMA,AR,weekend-am,1,1,3.2,4.4,0,0,35-44,100-150K,0,Ipsos,0.8915
UA_000068,2026-04-08,2026Q2,cereal-skipper,HOU,TX,afternoon-snack,1,1,5.7,4.3,1,0,25-34,100-150K,1,Ipsos,0.9046
UA_000069,2026-04-08,2026Q2,cereal-skipper,PHX,AZ,evening,1,1,5.9,6.7,0,1,65+,75-100K,0,Ipsos,0.7812
UA_000070,2026-04-08,2026Q2,cereal-skipper,MEM-DMA,TN,evening,1,1,3.4,2.0,0,0,55-64,50-75K,0,Ipsos,1.1283
UA_000071,2026-04-08,2026Q2,cereal-skipper,CHI,IL,post-workout,1,1,8.8,3.6,0,0,25-34,50-75K,1,Ipsos,1.1126
UA_000072,2026-04-08,2026Q2,cereal-skipper,WAS,DC,weekend-am,1,1,8.4,5.9,0,1,55-64,75-100K,1,Ipsos,0.7927
UA_000073,2026-04-08,2026Q2,cereal-skipper,NYC,NY,afternoon-snack,1,0,7.1,3.8,0,0,25-34,100-150K,0,Ipsos,0.7273
UA_000074,2026-04-08,2026Q2,cereal-skipper,PDX,OR,weekday-am,1,0,7.4,3.3,0,0,45-54,100-150K,1,Ipsos,0.6712
UA_000075,2026-04-08,2026Q2,cereal-skipper,PHX,AZ,weekday-am,1,0,9.9,4.9,1,0,35-44,75-100K,0,Ipsos,0.7874
UA_000076,2026-04-08,2026Q2,cereal-skipper,DEN,CO,weekday-am,1,1,7.3,3.1,1,0,45-54,<30K,0,Ipsos,1.2905
UA_000077,2026-04-08,2026Q2,cereal-skipper,NYC,NY,afternoon-snack,1,1,8.4,4.4,0,1,65+,<30K,0,Ipsos,0.606
UA_000078,2026-04-08,2026Q2,cereal-skipper,PDX,OR,afternoon-snack,1,0,9.3,7.0,1,0,35-44,75-100K,0,Ipsos,1.055
UA_000079,2026-04-08,2026Q2,cereal-skipper,PHX,AZ,afternoon-snack,1,0,6.2,3.6,0,0,55-64,30-50K,0,Ipsos,0.6398
UA_000080,2026-04-08,2026Q2,cereal-skipper,DET,MI,weekend-am,1,1,7.1,2.7,0,0,55-64,<30K,0,Ipsos,0.7399
UA_000081,2026-04-08,2026Q2,cereal-skipper,DET,MI,weekend-am,1,1,5.4,4.2,0,0,65+,75-100K,1,Ipsos,1.2467
UA_000082,2026-04-08,2026Q2,cereal-skipper,MIA,FL,weekend-am,1,1,6.3,3.9,0,0,45-54,<30K,0,Ipsos,0.6367
UA_000083,2026-04-08,2026Q2,cereal-skipper,MS-DMA,MS,afternoon-snack,1,0,6.9,4.3,0,0,45-54,100-150K,0,Ipsos,1.0475
UA_000084,2026-04-08,2026Q2,cereal-skipper,WAS,DC,afternoon-snack,1,0,6.9,4.8,0,1,25-34,150K+,0,Ipsos,0.8898
UA_000085,2026-04-08,2026Q2,cereal-skipper,PHL,PA,afternoon-snack,1,0,6.6,4.0,0,0,35-44,100-150K,0,Ipsos,1.1202
UA_000086,2026-04-08,2026Q2,cereal-skipper,AL-DMA,AL,afternoon-snack,1,1,6.0,3.5,0,0,35-44,30-50K,1,Ipsos,1.0005
UA_000087,2026-04-08,2026Q2,cereal-skipper,CLE,OH,weekend-am,1,1,7.4,4.9,0,0,55-64,100-150K,0,Ipsos,1.1033
UA_000088,2026-04-08,2026Q2,cereal-skipper,BOS,MA,afternoon-snack,1,0,8.2,5.7,0,1,65+,30-50K,0,Ipsos,0.8293
UA_000089,2026-04-08,2026Q2,cereal-skipper,MS-DMA,MS,post-workout,1,0,4.9,3.9,0,0,35-44,50-75K,0,Ipsos,1.2476
UA_000090,2026-04-08,2026Q2,cereal-skipper,LAX,CA,weekend-am,1,1,7.1,3.8,0,0,25-34,30-50K,1,Ipsos,1.2224
UA_000091,2026-04-08,2026Q2,cereal-skipper,HOU,TX,weekend-am,1,1,9.2,5.9,1,1,45-54,<30K,0,Ipsos,0.818
UA_000092,2026-04-08,2026Q2,cereal-skipper,LAX,CA,evening,1,1,7.2,3.3,0,0,18-24,75-100K,0,Ipsos,0.9228
UA_000093,2026-04-08,2026Q2,cereal-skipper,AR-DMA,AR,afternoon-snack,1,0,8.0,4.2,1,0,35-44,150K+,0,Ipsos,1.2135
UA_000094,2026-04-08,2026Q2,cereal-skipper,PHX,AZ,weekend-am,1,0,8.4,5.5,0,1,35-44,30-50K,0,Ipsos,0.9637
UA_000095,2026-04-08,2026Q2,cereal-skipper,PHL,PA,post-workout,1,1,8.5,2.9,0,0,65+,75-100K,0,Ipsos,0.734
UA_000096,2026-04-08,2026Q2,cereal-skipper,NYC,NY,weekday-am,1,0,8.8,5.9,1,0,35-44,50-75K,0,Ipsos,1.3954
UA_000097,2026-04-08,2026Q2,cereal-skipper,MIA,FL,post-workout,1,0,6.6,4.6,1,0,35-44,150K+,1,Ipsos,1.2169
UA_000098,2026-04-08,2026Q2,cereal-skipper,NYC,NY,weekend-am,1,1,5.4,5.3,0,1,45-54,50-75K,0,Ipsos,0.8009
UA_000099,2026-04-08,2026Q2,cereal-skipper,PHX,AZ,weekend-am,1,0,8.6,3.5,0,0,65+,75-100K,1,Ipsos,0.7407
UA_000100,2026-04-08,2026Q2,cereal-skipper,AL-DMA,AL,weekday-am,1,1,5.1,4.8,0,0,55-64,50-75K,1,Ipsos,0.6105
