Shipment_ID,Week_Start,Brand,Manufacturer,SKU,Product_Description,Retailer,Retailer_DC,Origin_Acme_Plant,Ordered_Units,Shipped_Units,Delivered_Units,Fill_Rate_Pct,On_Time_Pct,Cut_Reason
SHP00000022,2024-05-27,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1452,1419,1379,0.9497,1,None
SHP00000023,2024-06-03,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1149,1139,1111,0.9669,1,None
SHP00000024,2024-06-10,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,326,313,312,0.9571,1,None
SHP00000025,2024-06-17,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1062,1034,1022,0.9623,1,None
SHP00000026,2024-06-24,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1067,1017,1011,0.9475,1,None
SHP00000027,2024-07-01,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,127,127,123,0.9685,1,None
SHP00000028,2024-07-08,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,787,742,731,0.9288,1,None
SHP00000029,2024-07-15,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,908,868,867,0.9548,1,None
SHP00000030,2024-07-22,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1236,1217,1197,0.9684,1,None
SHP00000031,2024-07-29,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,776,739,721,0.9291,1,None
SHP00000032,2024-08-05,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,567,538,536,0.9453,1,None
SHP00000033,2024-08-12,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1590,1499,1461,0.9189,1,None
SHP00000034,2024-08-19,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,805,785,780,0.9689,1,None
SHP00000035,2024-08-26,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1488,1423,1408,0.9462,1,None
SHP00000036,2024-09-02,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1373,1289,1268,0.9235,1,None
SHP00000037,2024-09-09,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1797,1764,1752,0.975,1,None
SHP00000038,2024-09-16,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,652,645,637,0.977,1,None
SHP00000039,2024-09-23,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,858,819,811,0.9452,1,None
SHP00000040,2024-09-30,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,144,138,135,0.9375,1,None
SHP00000041,2024-10-07,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1045,1000,996,0.9531,1,None
SHP00000042,2024-10-14,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,340,333,328,0.9647,1,None
SHP00000043,2024-10-21,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,512,479,475,0.9277,1,None
SHP00000044,2024-10-28,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,826,778,775,0.9383,1,None
SHP00000045,2024-11-04,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1461,1362,1321,0.9042,0,None
SHP00000046,2024-11-11,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1683,1661,1625,0.9655,1,None
SHP00000047,2024-11-18,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,350,329,324,0.9257,1,None
SHP00000048,2024-11-25,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,347,341,340,0.9798,1,None
SHP00000049,2024-12-02,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,277,260,255,0.9206,1,None
SHP00000050,2024-12-09,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,796,749,736,0.9246,1,None
SHP00000051,2024-12-16,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,527,519,510,0.9677,1,None
SHP00000052,2024-12-23,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1770,1687,1639,0.926,1,None
SHP00000053,2024-12-30,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1190,1115,1087,0.9134,1,None
SHP00000054,2025-01-06,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,940,903,901,0.9585,1,None
SHP00000055,2025-01-13,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1105,1066,1053,0.9529,1,None
SHP00000056,2025-01-20,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1759,1687,1648,0.9369,1,None
SHP00000057,2025-01-27,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1428,1381,1376,0.9636,1,None
SHP00000058,2025-02-03,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,182,174,170,0.9341,1,None
SHP00000059,2025-02-10,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1448,1356,1317,0.9095,1,None
SHP00000060,2025-02-17,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1380,1322,1292,0.9362,1,None
SHP00000061,2025-02-24,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,541,512,509,0.9409,1,None
SHP00000062,2025-03-03,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1594,1528,1498,0.9398,1,None
SHP00000063,2025-03-10,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,663,619,617,0.9306,1,None
SHP00000064,2025-03-17,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,216,206,201,0.9306,1,None
SHP00000065,2025-03-24,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,799,757,752,0.9412,1,None
SHP00000066,2025-03-31,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1236,1186,1172,0.9482,1,None
SHP00000067,2025-04-07,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1688,1657,1629,0.965,1,None
SHP00000068,2025-04-14,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,651,639,630,0.9677,0,None
SHP00000069,2025-04-21,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,614,600,591,0.9625,1,None
SHP00000070,2025-04-28,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,972,958,945,0.9722,1,None
SHP00000071,2025-05-05,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,416,403,397,0.9543,1,None
SHP00000072,2025-05-12,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,802,785,783,0.9763,0,None
SHP00000073,2025-05-19,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,196,182,181,0.9235,1,None
SHP00000074,2025-05-26,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,86,86,84,0.9767,1,None
SHP00000075,2025-06-02,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1335,1265,1258,0.9423,1,None
SHP00000076,2025-06-09,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1399,1334,1319,0.9428,1,None
SHP00000077,2025-06-16,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1583,1565,1546,0.9766,1,None
SHP00000078,2025-06-23,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,205,195,192,0.9366,0,None
SHP00000079,2025-06-30,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,82,79,78,0.9512,1,None
SHP00000080,2025-07-07,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,128,122,121,0.9453,1,None
SHP00000081,2025-07-14,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1714,1642,1612,0.9405,1,None
SHP00000082,2025-07-21,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,512,497,487,0.9512,1,None
SHP00000083,2025-07-28,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,249,235,231,0.9277,1,None
SHP00000084,2025-08-04,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,388,383,375,0.9665,1,None
SHP00000085,2025-08-11,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1793,1714,1709,0.9532,1,None
SHP00000086,2025-08-18,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,632,624,617,0.9763,1,None
SHP00000087,2025-08-25,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,578,545,534,0.9239,1,None
SHP00000088,2025-09-01,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,346,330,321,0.9277,1,None
SHP00000089,2025-09-08,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,636,614,596,0.9371,1,None
SHP00000090,2025-09-15,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,790,764,746,0.9443,1,None
SHP00000091,2025-09-22,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1695,1668,1644,0.9699,1,None
SHP00000092,2025-09-29,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1786,1684,1665,0.9323,0,None
SHP00000093,2025-10-06,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1312,1276,1250,0.9527,1,None
SHP00000094,2025-10-13,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1708,1683,1663,0.9737,1,None
SHP00000095,2025-10-20,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1491,1422,1402,0.9403,1,None
SHP00000096,2025-10-27,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1569,1562,1541,0.9822,1,None
SHP00000097,2025-11-03,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,310,297,293,0.9452,1,None
SHP00000098,2025-11-10,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,441,430,418,0.9478,1,None
SHP00000099,2025-11-17,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,422,415,412,0.9763,1,None
SHP00000100,2025-11-24,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1711,1607,1563,0.9135,0,None
