Cohort,DMA,Quarter,Wave_Close_Date,HH_Penetration_Pct,Purchases_Per_Buyer_Per_Qtr,N_Panel_HH,Source
protein-returner,US-SE,FY26Q2,2026-06-15,10.9,4.5,1163,Kantar Worldpanel
protein-returner,US-NE,FY25Q1,2025-03-15,13.6,4.13,642,Kantar Worldpanel
protein-returner,US-NE,FY25Q2,2025-06-15,14.1,4.2,547,Kantar Worldpanel
protein-returner,US-NE,FY25Q3,2025-09-15,14.4,4.36,1103,Kantar Worldpanel
protein-returner,US-NE,FY25Q4,2025-12-15,15.0,4.42,737,Kantar Worldpanel
protein-returner,US-NE,FY26Q1,2026-03-15,15.3,4.55,1145,Kantar Worldpanel
protein-returner,US-NE,FY26Q2,2026-06-15,15.5,4.51,1004,Kantar Worldpanel
loyal-family,US-NAT,FY25Q1,2025-03-15,47.9,6.76,1118,Kantar Worldpanel
loyal-family,US-NAT,FY25Q2,2025-06-15,47.6,6.81,485,Kantar Worldpanel
loyal-family,US-NAT,FY25Q3,2025-09-15,47.4,6.82,466,Kantar Worldpanel
loyal-family,US-NAT,FY25Q4,2025-12-15,46.8,6.88,568,Kantar Worldpanel
loyal-family,US-NAT,FY26Q1,2026-03-15,46.9,7.09,611,Kantar Worldpanel
loyal-family,US-NAT,FY26Q2,2026-06-15,46.6,7.09,729,Kantar Worldpanel
loyal-family,LA-DMA,FY25Q1,2025-03-15,41.8,6.87,704,Kantar Worldpanel
loyal-family,LA-DMA,FY25Q2,2025-06-15,41.4,6.94,756,Kantar Worldpanel
loyal-family,LA-DMA,FY25Q3,2025-09-15,40.9,6.88,617,Kantar Worldpanel
loyal-family,LA-DMA,FY25Q4,2025-12-15,40.9,6.88,633,Kantar Worldpanel
loyal-family,LA-DMA,FY26Q1,2026-03-15,40.4,6.48,949,Kantar Worldpanel
loyal-family,LA-DMA,FY26Q2,2026-06-15,40.2,5.91,1155,Kantar Worldpanel
loyal-family,US-MW,FY25Q1,2025-03-15,53.1,6.79,836,Kantar Worldpanel
loyal-family,US-MW,FY25Q2,2025-06-15,52.8,6.77,1156,Kantar Worldpanel
loyal-family,US-MW,FY25Q3,2025-09-15,52.4,6.84,680,Kantar Worldpanel
loyal-family,US-MW,FY25Q4,2025-12-15,52.2,6.98,628,Kantar Worldpanel
loyal-family,US-MW,FY26Q1,2026-03-15,51.9,6.97,884,Kantar Worldpanel
loyal-family,US-MW,FY26Q2,2026-06-15,51.7,6.96,729,Kantar Worldpanel
loyal-family,US-SE,FY25Q1,2025-03-15,44.2,6.84,549,Kantar Worldpanel
loyal-family,US-SE,FY25Q2,2025-06-15,43.6,6.91,758,Kantar Worldpanel
loyal-family,US-SE,FY25Q3,2025-09-15,43.4,6.95,665,Kantar Worldpanel
loyal-family,US-SE,FY25Q4,2025-12-15,43.5,6.91,1177,Kantar Worldpanel
loyal-family,US-SE,FY26Q1,2026-03-15,43.2,7.09,904,Kantar Worldpanel
loyal-family,US-SE,FY26Q2,2026-06-15,42.8,6.95,1055,Kantar Worldpanel
loyal-family,US-NE,FY25Q1,2025-03-15,43.3,6.73,677,Kantar Worldpanel
loyal-family,US-NE,FY25Q2,2025-06-15,43.5,6.82,1133,Kantar Worldpanel
loyal-family,US-NE,FY25Q3,2025-09-15,42.7,6.87,511,Kantar Worldpanel
loyal-family,US-NE,FY25Q4,2025-12-15,42.9,6.95,1159,Kantar Worldpanel
loyal-family,US-NE,FY26Q1,2026-03-15,42.2,6.98,616,Kantar Worldpanel
loyal-family,US-NE,FY26Q2,2026-06-15,42.2,6.96,686,Kantar Worldpanel
price-shopper,US-NAT,FY25Q1,2025-03-15,22.2,3.36,503,Kantar Worldpanel
price-shopper,US-NAT,FY25Q2,2025-06-15,22.1,3.42,1180,Kantar Worldpanel
price-shopper,US-NAT,FY25Q3,2025-09-15,22.5,3.5,958,Kantar Worldpanel
price-shopper,US-NAT,FY25Q4,2025-12-15,22.3,3.41,909,Kantar Worldpanel
price-shopper,US-NAT,FY26Q1,2026-03-15,22.5,3.52,996,Kantar Worldpanel
price-shopper,US-NAT,FY26Q2,2026-06-15,22.8,3.26,850,Kantar Worldpanel
price-shopper,LA-DMA,FY25Q1,2025-03-15,30.1,3.47,1103,Kantar Worldpanel
price-shopper,LA-DMA,FY25Q2,2025-06-15,30.3,3.52,1068,Kantar Worldpanel
price-shopper,LA-DMA,FY25Q3,2025-09-15,30.8,3.44,1041,Kantar Worldpanel
price-shopper,LA-DMA,FY25Q4,2025-12-15,30.8,3.42,504,Kantar Worldpanel
