Household_ID,Country,Country_Code,State,DMA,City,Urbanicity,Currency,HH_Size,Income_Bracket,HOH_Age,HOH_Gender,Education_Level,Marital_Status,Ethnicity,Children_Flag,Children_Age_Band,Number_Of_Children,Loyalty_Score,Brand_Loyalty_Segment,Price_Sensitivity_Segment,Adopter_Type,Cereal_Buyer_Flag,Plant_Based_Buyer_Flag,Panel_Tenure_Months,Weight
HH200020,United States,USA,OK,OK-DMA,Oklahoma City,Suburban,USD,3,30-50K,30,Male,Bachelors,Single,Non-Hispanic White,Yes,12-17,1,0.056,Light Buyer,High,Laggard,Yes,No,76,0.9858
HH200021,United States,USA,OR,PDX,Portland,Urban,USD,5,30-50K,26,Male,Graduate,Divorced,Asian,No,None,0,0.469,Multi-Brand Switcher,Low,Laggard,No,No,18,0.6932
HH200022,United States,USA,OH,CIN,Dayton,Urban,USD,2,75-100K,47,Female,Some College,Divorced,Other,No,None,0,0.442,Multi-Brand Switcher,Low,Mainstream,Yes,No,51,0.8367
HH200023,United States,USA,GA,ATL,Atlanta,Rural,USD,2,50-75K,26,Female,Bachelors,Married,Non-Hispanic White,No,None,0,0.796,Multi-Brand Switcher,Low,Late Mainstream,Yes,Yes,40,1.1989
HH200024,United States,USA,AZ,PHX,Phoenix,Urban,USD,3,75-100K,47,Female,High School,Single,Non-Hispanic Black,No,None,0,0.476,Acme Loyal,Low,Early Adopter,Yes,Yes,75,1.4867
HH200025,United States,USA,CA,LAX,Anaheim,Suburban,USD,1,150K+,73,Male,Some College,Married,Hispanic,No,None,0,0.511,Multi-Brand Switcher,Medium,Mainstream,Yes,Yes,25,0.657
HH200026,United States,USA,OR,PDX,Beaverton,Rural,USD,3,50-75K,30,Female,Some College,Single,Non-Hispanic White,Yes,6-11,2,0.384,Multi-Brand Switcher,Medium,Mainstream,Yes,No,88,0.6975
HH200027,United States,USA,MO,STL,St Charles,Urban,USD,4,50-75K,32,Female,Bachelors,Married,Non-Hispanic White,No,None,0,0.779,Multi-Brand Switcher,High,Late Mainstream,Yes,No,51,1.1406
HH200028,United States,USA,TX,DAL,Dallas,Suburban,USD,2,30-50K,48,Female,Graduate,Divorced,Non-Hispanic Black,No,None,0,0.821,Competitor Loyal,Medium,Mainstream,Yes,No,77,1.2283
HH200029,United States,USA,TX,HOU,The Woodlands,Urban,USD,2,150K+,31,Male,Bachelors,Married,Asian,No,None,0,0.128,Competitor Loyal,Medium,Late Mainstream,Yes,No,25,1.4116
HH200030,United States,USA,CA,LAX,Anaheim,Suburban,USD,4,150K+,24,Female,Some College,Married,Asian,Yes,0-5,1,0.235,Acme Loyal,Low,Mainstream,Yes,No,55,0.8383
HH200031,United States,USA,AL,AL-DMA,Mobile,Urban,USD,2,100-150K,69,Male,Bachelors,Married,Hispanic,No,None,0,0.453,Multi-Brand Switcher,Medium,Mainstream,Yes,No,91,0.8576
HH200032,United States,USA,NY,NYC,Newark,Urban,USD,2,75-100K,63,Female,High School,Married,Non-Hispanic White,No,None,0,0.274,Acme Loyal,Medium,Mainstream,Yes,No,55,0.6307
HH200033,United States,USA,TX,DAL,Dallas,Rural,USD,5,50-75K,22,Female,Graduate,Single,Non-Hispanic White,No,None,0,0.195,Multi-Brand Switcher,Low,Mainstream,Yes,No,42,1.02
HH200034,United States,USA,OK,OK-DMA,Norman,Suburban,USD,2,75-100K,73,Female,Bachelors,Divorced,Non-Hispanic White,No,None,0,0.209,Competitor Loyal,Medium,Late Mainstream,Yes,No,31,1.3417
HH200035,United States,USA,MN,MIN,St Paul,Urban,USD,1,100-150K,52,Male,High School,Married,Hispanic,No,None,0,0.211,Acme Loyal,Medium,Late Mainstream,No,No,84,1.4703
HH200036,United States,USA,WA,SEA,Seattle,Urban,USD,2,50-75K,38,Male,High School,Married,Hispanic,No,None,0,0.884,Light Buyer,Medium,Late Mainstream,Yes,Yes,11,1.5138
HH200037,United States,USA,CA,SFO,Oakland,Urban,USD,4,150K+,72,Female,Bachelors,Single,Non-Hispanic White,Yes,Mixed,3,0.916,Acme Loyal,Medium,Mainstream,Yes,Yes,54,0.5746
HH200038,United States,USA,PA,PHL,Camden,Suburban,USD,4,100-150K,25,Male,Some College,Married,Hispanic,Yes,0-5,1,0.088,Acme Loyal,Medium,Laggard,Yes,No,7,0.7159
HH200039,United States,USA,FL,ORL,Lakeland,Suburban,USD,2,50-75K,60,Female,Some College,Single,Non-Hispanic White,No,None,0,0.415,Multi-Brand Switcher,Medium,Early Adopter,Yes,No,42,1.279
HH200040,United States,USA,FL,ORL,Lakeland,Urban,USD,2,150K+,59,Female,High School,Single,Hispanic,No,None,0,0.659,Acme Loyal,Medium,Early Adopter,Yes,Yes,91,0.8375
HH200041,United States,USA,MI,DET,Ann Arbor,Suburban,USD,2,100-150K,77,Female,Bachelors,Single,Non-Hispanic White,No,None,0,0.298,Acme Loyal,Medium,Mainstream,Yes,Yes,86,1.4881
HH200042,United States,USA,CA,LAX,Anaheim,Rural,USD,5,100-150K,67,Male,Some College,Married,Asian,No,None,0,0.854,Multi-Brand Switcher,Medium,Mainstream,Yes,No,20,1.4075
HH200043,United States,USA,DC,WAS,Alexandria,Suburban,USD,1,100-150K,56,Female,Bachelors,Single,Non-Hispanic Black,No,None,0,0.709,Multi-Brand Switcher,Low,Late Mainstream,Yes,Yes,89,0.5593
HH200044,United States,USA,PA,PHL,Camden,Rural,USD,2,75-100K,51,Female,Some College,Married,Non-Hispanic White,No,None,0,0.33,Acme Loyal,High,Mainstream,Yes,Yes,55,0.6138
HH200045,United States,USA,PA,PHL,Philadelphia,Urban,USD,1,100-150K,39,Female,Graduate,Married,Non-Hispanic White,No,None,0,0.147,Competitor Loyal,High,Mainstream,Yes,No,30,0.7035
HH200046,United States,USA,MA,BOS,Worcester,Urban,USD,6,<30K,24,Female,Graduate,Single,Non-Hispanic White,No,None,0,0.834,Multi-Brand Switcher,Medium,Mainstream,Yes,No,84,0.6742
HH200047,United States,USA,CO,DEN,Aurora,Suburban,USD,4,100-150K,36,Female,Graduate,Married,Hispanic,No,None,0,0.401,Competitor Loyal,Medium,Mainstream,No,No,76,0.9955
HH200048,United States,USA,MI,DET,Detroit,Urban,USD,4,30-50K,42,Male,High School,Married,Non-Hispanic Black,No,None,0,0.174,Acme Loyal,High,Late Mainstream,Yes,Yes,44,1.4317
HH200049,United States,USA,MD,BAL,Baltimore,Rural,USD,4,150K+,60,Male,High School,Married,Non-Hispanic White,No,None,0,0.949,Light Buyer,Low,Laggard,Yes,No,81,0.9886
HH200050,United States,USA,NY,NYC,Jersey City,Suburban,USD,3,30-50K,67,Male,Bachelors,Single,Non-Hispanic White,Yes,6-11,2,0.877,Acme Loyal,High,Laggard,Yes,No,89,0.5494
HH200051,United States,USA,PA,PHL,Wilmington,Urban,USD,3,<30K,64,Male,Graduate,Married,Non-Hispanic White,No,None,0,0.885,Multi-Brand Switcher,Medium,Mainstream,Yes,No,29,1.1684
HH200052,United States,USA,PA,PIT,Monroeville,Suburban,USD,3,150K+,49,Female,Graduate,Single,Non-Hispanic White,No,None,0,0.839,Acme Loyal,High,Mainstream,Yes,No,81,0.6714
HH200053,United States,USA,CA,LAX,Los Angeles,Urban,USD,1,<30K,41,Male,Bachelors,Single,Non-Hispanic Black,No,None,0,0.757,Multi-Brand Switcher,Low,Mainstream,Yes,No,42,1.3457
HH200054,United States,USA,OR,PDX,Hillsboro,Urban,USD,2,100-150K,59,Female,High School,Married,Non-Hispanic Black,No,None,0,0.475,Light Buyer,Low,Mainstream,Yes,No,68,1.0573
HH200055,United States,USA,TX,HOU,Houston,Urban,USD,2,75-100K,78,Female,Some College,Single,Non-Hispanic Black,No,None,0,0.545,Acme Loyal,Medium,Mainstream,Yes,No,31,0.5641
HH200056,United States,USA,TX,HOU,Pasadena,Suburban,USD,3,75-100K,70,Female,Some College,Married,Non-Hispanic White,Yes,Mixed,3,0.429,Competitor Loyal,Medium,Laggard,Yes,No,96,1.2677
HH200057,United States,USA,TX,DAL,Plano,Suburban,USD,2,100-150K,26,Female,Graduate,Single,Asian,No,None,0,0.41,Competitor Loyal,Medium,Mainstream,Yes,No,89,0.9892
HH200058,United States,USA,MD,BAL,Annapolis,Suburban,USD,4,75-100K,57,Female,Bachelors,Single,Non-Hispanic White,No,None,0,0.144,Acme Loyal,Medium,Late Mainstream,No,No,53,0.7239
HH200059,United States,USA,CA,LAX,Long Beach,Rural,USD,4,150K+,48,Male,Bachelors,Married,Non-Hispanic Black,No,None,0,0.924,Multi-Brand Switcher,High,Laggard,Yes,Yes,91,1.2109
HH200060,United States,USA,DC,WAS,Arlington VA,Urban,USD,3,50-75K,72,Female,High School,Single,Non-Hispanic White,Yes,6-11,1,0.213,Multi-Brand Switcher,Medium,Mainstream,Yes,No,56,1.0295
HH200061,United States,USA,TX,DAL,Dallas,Suburban,USD,4,100-150K,50,Female,Graduate,Single,Non-Hispanic White,Yes,Mixed,2,0.371,Light Buyer,Low,Mainstream,Yes,No,56,0.5096
HH200062,United States,USA,MI,DET,Detroit,Suburban,USD,2,150K+,67,Female,Graduate,Divorced,Non-Hispanic White,No,None,0,0.883,Competitor Loyal,High,Mainstream,Yes,Yes,55,1.5842
HH200063,United States,USA,AL,AL-DMA,Mobile,Suburban,USD,1,50-75K,57,Male,Graduate,Married,Non-Hispanic Black,No,None,0,0.368,Light Buyer,High,Innovator,Yes,No,35,1.549
HH200064,United States,USA,MN,MIN,Bloomington,Urban,USD,3,100-150K,55,Female,High School,Married,Asian,No,None,0,0.095,Acme Loyal,Low,Laggard,Yes,No,35,0.7599
HH200065,United States,USA,CA,SFO,San Jose,Urban,USD,3,50-75K,67,Female,Bachelors,Married,Hispanic,Yes,0-5,2,0.371,Multi-Brand Switcher,Medium,Early Adopter,Yes,No,78,0.6332
HH200066,United States,USA,CA,LAX,Los Angeles,Urban,USD,1,30-50K,72,Male,Bachelors,Married,Non-Hispanic White,No,None,0,0.523,Multi-Brand Switcher,Medium,Mainstream,No,No,65,1.1939
HH200067,United States,USA,TX,HOU,Sugar Land,Urban,USD,5,<30K,42,Female,Graduate,Married,Non-Hispanic White,Yes,6-11,3,0.139,Multi-Brand Switcher,Medium,Early Adopter,Yes,Yes,50,0.9766
HH200068,United States,USA,GA,ATL,Decatur,Urban,USD,1,<30K,58,Female,Some College,Divorced,Hispanic,No,None,0,0.246,Light Buyer,Medium,Innovator,Yes,Yes,38,0.9508
HH200069,United States,USA,GA,ATL,Decatur,Suburban,USD,1,50-75K,30,Male,Some College,Married,Hispanic,No,None,0,0.319,Light Buyer,Low,Early Adopter,Yes,No,53,1.4729
HH200070,United States,USA,NY,NYC,New York,Suburban,USD,3,100-150K,76,Female,Bachelors,Single,Non-Hispanic White,Yes,12-17,2,0.692,Multi-Brand Switcher,Medium,Innovator,Yes,No,76,0.9421
HH200071,United States,USA,WA,SEA,Seattle,Rural,USD,1,<30K,44,Female,High School,Divorced,Hispanic,No,None,0,0.888,Multi-Brand Switcher,Medium,Mainstream,Yes,No,43,1.2175
HH200072,United States,USA,OK,OK-DMA,Oklahoma City,Urban,USD,2,<30K,22,Female,Graduate,Married,Non-Hispanic White,No,None,0,0.627,Competitor Loyal,Medium,Late Mainstream,Yes,No,56,0.8312
HH200073,United States,USA,GA,ATL,Decatur,Urban,USD,2,75-100K,55,Female,High School,Single,Non-Hispanic White,No,None,0,0.082,Acme Loyal,Medium,Early Adopter,Yes,No,95,0.7074
HH200074,United States,USA,IL,CHI,Naperville,Urban,USD,3,75-100K,41,Female,Graduate,Widowed,Hispanic,Yes,0-5,2,0.443,Multi-Brand Switcher,Low,Mainstream,Yes,No,61,1.3473
HH200075,United States,USA,MA,BOS,Worcester,Urban,USD,2,75-100K,66,Female,Bachelors,Single,Non-Hispanic White,No,None,0,0.419,Multi-Brand Switcher,Low,Mainstream,Yes,Yes,51,0.537
HH200076,United States,USA,AZ,PHX,Tempe,Suburban,USD,4,<30K,68,Female,Some College,Divorced,Hispanic,Yes,12-17,1,0.943,Multi-Brand Switcher,Low,Mainstream,Yes,Yes,29,1.4336
HH200077,United States,USA,MN,MIN,Minneapolis,Suburban,USD,2,75-100K,48,Female,Bachelors,Married,Non-Hispanic Black,No,None,0,0.938,Competitor Loyal,High,Mainstream,Yes,No,23,0.5968
HH200078,United States,USA,CA,SFO,San Francisco,Suburban,USD,4,50-75K,56,Male,High School,Married,Hispanic,No,None,0,0.389,Multi-Brand Switcher,Medium,Laggard,Yes,Yes,55,1.1248
HH200079,United States,USA,PA,PHL,Philadelphia,Urban,USD,3,75-100K,36,Female,Some College,Single,Hispanic,Yes,0-5,1,0.096,Competitor Loyal,Medium,Mainstream,No,Yes,75,0.9219
HH200080,United States,USA,TX,DAL,Arlington,Urban,USD,3,30-50K,67,Female,Some College,Married,Hispanic,Yes,12-17,3,0.159,Multi-Brand Switcher,Medium,Late Mainstream,Yes,Yes,83,1.0188
HH200081,United States,USA,CA,LAX,Los Angeles,Rural,USD,2,<30K,54,Female,Some College,Married,Asian,No,None,0,0.053,Multi-Brand Switcher,Low,Late Mainstream,Yes,No,40,1.1089
HH200082,United States,USA,CA,LAX,Anaheim,Rural,USD,1,50-75K,38,Female,Graduate,Married,Non-Hispanic White,No,None,0,0.716,Competitor Loyal,High,Innovator,No,Yes,81,1.1159
HH200083,United States,USA,FL,ORL,Lakeland,Urban,USD,6,100-150K,56,Male,Graduate,Married,Non-Hispanic White,Yes,0-5,1,0.824,Competitor Loyal,Medium,Mainstream,Yes,No,94,0.9858
HH200084,United States,USA,MO,KAN,Kansas City,Urban,USD,2,75-100K,51,Female,Bachelors,Married,Non-Hispanic White,No,None,0,0.061,Multi-Brand Switcher,Medium,Mainstream,Yes,No,32,0.8995
HH200085,United States,USA,AZ,PHX,Mesa,Suburban,USD,5,<30K,74,Male,Bachelors,Married,Non-Hispanic White,No,None,0,0.644,Multi-Brand Switcher,Low,Early Adopter,Yes,No,21,1.299
HH200086,United States,USA,AR,AR-DMA,Fayetteville,Urban,USD,4,100-150K,23,Female,Graduate,Married,Non-Hispanic Black,Yes,12-17,2,0.762,Acme Loyal,Medium,Early Adopter,Yes,No,29,1.5592
HH200087,United States,USA,NY,NYC,Newark,Urban,USD,2,50-75K,36,Male,Graduate,Single,Other,No,None,0,0.527,Acme Loyal,Medium,Mainstream,No,No,79,1.2054
HH200088,United States,USA,TX,DAL,Fort Worth,Suburban,USD,3,100-150K,70,Male,Graduate,Married,Other,No,None,0,0.808,Acme Loyal,Low,Mainstream,Yes,No,87,0.9355
HH200089,United States,USA,CA,LAX,Anaheim,Rural,USD,5,150K+,24,Male,High School,Widowed,Non-Hispanic White,Yes,12-17,1,0.691,Competitor Loyal,High,Early Adopter,Yes,No,64,1.4731
HH200090,United States,USA,MN,MIN,Minneapolis,Urban,USD,5,100-150K,35,Female,High School,Married,Non-Hispanic White,Yes,6-11,1,0.592,Multi-Brand Switcher,Medium,Mainstream,Yes,Yes,22,1.1703
HH200091,United States,USA,AR,AR-DMA,Little Rock,Suburban,USD,4,150K+,34,Male,Bachelors,Married,Hispanic,Yes,0-5,1,0.635,Acme Loyal,Low,Mainstream,Yes,No,70,0.5892
HH200092,United States,USA,WA,SEA,Seattle,Urban,USD,2,100-150K,46,Female,Some College,Married,Non-Hispanic White,No,None,0,0.807,Acme Loyal,Low,Late Mainstream,Yes,Yes,95,0.787
HH200093,United States,USA,FL,MIA,Miami,Urban,USD,3,50-75K,38,Female,High School,Married,Asian,Yes,6-11,2,0.109,Competitor Loyal,Low,Innovator,Yes,Yes,21,0.9971
HH200094,United States,USA,MO,STL,St Charles,Urban,USD,5,75-100K,70,Female,Bachelors,Married,Non-Hispanic White,Yes,0-5,1,0.327,Acme Loyal,Medium,Mainstream,Yes,No,29,1.229
HH200095,United States,USA,PA,PHL,Wilmington,Suburban,USD,1,100-150K,53,Female,High School,Married,Non-Hispanic White,No,None,0,0.674,Competitor Loyal,High,Mainstream,Yes,Yes,13,1.0534
HH200096,United States,USA,MD,BAL,Annapolis,Urban,USD,2,50-75K,77,Female,Bachelors,Married,Non-Hispanic White,No,None,0,0.77,Light Buyer,High,Late Mainstream,Yes,No,77,1.5956
HH200097,United States,USA,OR,PDX,Hillsboro,Suburban,USD,2,<30K,57,Male,Some College,Married,Non-Hispanic Black,No,None,0,0.674,Acme Loyal,Medium,Mainstream,Yes,No,66,1.1944
HH200098,United States,USA,NY,NYC,Jersey City,Suburban,USD,4,<30K,68,Female,Some College,Married,Non-Hispanic Black,No,None,0,0.635,Multi-Brand Switcher,Medium,Innovator,Yes,No,86,0.9212
HH200099,United States,USA,OH,CLE,Akron,Suburban,USD,3,75-100K,47,Female,High School,Married,Non-Hispanic White,No,None,0,0.309,Acme Loyal,Low,Late Mainstream,Yes,Yes,73,1.541
