Period,Brand,Retailer,DMA,Plan_Revenue_USD,Plan_Units,Actual_Revenue_USD,Actual_Units,Variance_USD,Variance_Pct,Variance_Status,Plan_Source
2024-01,Crunchwell,Walmart,IND,109931.03,18232,103666.72,22562,-6264.31,-0.057,Soft,AOP
2024-01,Crunchwell,Walmart,BAL,134360.15,29629,122861.81,24961,-11498.34,-0.0856,Soft,AOP
2024-01,Crunchwell,Walmart,WAS,274827.57,53813,252826.25,41203,-22001.32,-0.0801,Soft,AOP
2024-01,Crunchwell,Target,LA-DMA,45399.24,8285,43332.85,7358,-2066.39,-0.0455,Soft,AOP
2024-01,Crunchwell,Target,DAL,102148.3,20170,93465.28,16710,-8683.02,-0.085,Soft,AOP
2024-01,Crunchwell,Target,HOU,102148.3,16170,102418.4,15798,270.1,0.0026,On-Track,AOP
2024-01,Crunchwell,Target,ATL,90798.49,18893,83572.34,16096,-7226.15,-0.0796,Soft,AOP
2024-01,Crunchwell,Target,CHI,140737.66,22565,134449.29,26105,-6288.37,-0.0447,Soft,AOP
2024-01,Crunchwell,Target,NYC,204296.6,33667,187834.91,33233,-16461.69,-0.0806,Soft,AOP
2024-01,Crunchwell,Target,LAX,181596.98,31810,176305.22,32447,-5291.76,-0.0291,On-Track,AOP
2024-01,Crunchwell,Target,MIN,68098.87,12495,63722.38,12009,-4376.49,-0.0643,Soft,AOP
2024-01,Crunchwell,Target,DEN,56749.06,8955,55740.61,8990,-1008.45,-0.0178,On-Track,AOP
2024-01,Crunchwell,Target,PHX,79448.68,17015,78956.57,12676,-492.11,-0.0062,On-Track,AOP
2024-01,Crunchwell,Target,SEA,68098.87,10983,63555.84,10888,-4543.03,-0.0667,Soft,AOP
2024-01,Crunchwell,Target,BOS,68098.87,14825,67453.72,11557,-645.15,-0.0095,On-Track,AOP
2024-01,Crunchwell,Target,PHL,90798.49,16592,83882.06,15153,-6916.43,-0.0762,Soft,AOP
2024-01,Crunchwell,Target,DET,68098.87,11746,66331.15,13012,-1767.72,-0.026,On-Track,AOP
2024-01,Crunchwell,Target,MIA,90798.49,20164,85872.48,14209,-4926.01,-0.0543,Soft,AOP
2024-01,Crunchwell,Target,MS-DMA,40859.32,6618,39686.34,7254,-1172.98,-0.0287,On-Track,AOP
2024-01,Crunchwell,Target,AL-DMA,56749.06,8881,56801.91,10778,52.85,0.0009,On-Track,AOP
2024-01,Crunchwell,Target,AR-DMA,45399.24,8357,42442.22,8010,-2957.02,-0.0651,Soft,AOP
2024-01,Crunchwell,Target,OK-DMA,54479.09,8920,54730.24,8764,251.15,0.0046,On-Track,AOP
2024-01,Crunchwell,Target,ORL,68098.87,11774,66350.98,12454,-1747.89,-0.0257,On-Track,AOP
2024-01,Crunchwell,Target,CIN,49939.17,7996,46520.78,7267,-3418.39,-0.0685,Soft,AOP
2024-01,Crunchwell,Target,STL,56749.06,9032,54347.14,8953,-2401.92,-0.0423,Soft,AOP
2024-01,Crunchwell,Target,KAN,45399.24,7877,44121.98,7342,-1277.26,-0.0281,On-Track,AOP
2024-01,Crunchwell,Target,PIT,45399.24,9982,43950.49,9095,-1448.75,-0.0319,Soft,AOP
2024-01,Crunchwell,Target,PDX,45399.24,7321,44548.3,8321,-850.94,-0.0187,On-Track,AOP
2024-01,Crunchwell,Target,SFO,90798.49,16444,86456.73,17172,-4341.76,-0.0478,Soft,AOP
2024-01,Crunchwell,Target,CLE,40859.32,8947,38821.18,7050,-2038.14,-0.0499,Soft,AOP
2024-01,Crunchwell,Target,IND,40859.32,7040,40958.15,7784,98.83,0.0024,On-Track,AOP
2024-01,Crunchwell,Target,BAL,49939.17,9389,46370.17,9552,-3569.0,-0.0715,Soft,AOP
2024-01,Crunchwell,Target,WAS,102148.3,22413,93438.24,15411,-8710.06,-0.0853,Soft,AOP
2024-01,Crunchwell,Kroger,LA-DMA,62153.73,13192,58210.26,12038,-3943.47,-0.0634,Soft,AOP
2024-01,Crunchwell,Kroger,DAL,139845.89,25935,137413.07,23630,-2432.82,-0.0174,On-Track,AOP
2024-01,Crunchwell,Kroger,HOU,139845.89,25035,132561.68,20883,-7284.21,-0.0521,Soft,AOP
2024-01,Crunchwell,Kroger,ATL,124307.46,24294,115189.57,21720,-9117.89,-0.0733,Soft,AOP
2024-01,Crunchwell,Kroger,CHI,192676.56,32117,180625.89,37816,-12050.67,-0.0625,Soft,AOP
2024-01,Crunchwell,Kroger,NYC,279691.78,44361,265705.35,45910,-13986.43,-0.05,Soft,AOP
2024-01,Crunchwell,Kroger,LAX,248614.91,42357,248461.45,45112,-153.46,-0.0006,On-Track,AOP
2024-01,Crunchwell,Kroger,MIN,93230.59,15996,89070.05,18750,-4160.54,-0.0446,Soft,AOP
2024-01,Crunchwell,Kroger,DEN,77692.16,15060,75176.51,16199,-2515.65,-0.0324,Soft,AOP
2024-01,Crunchwell,Kroger,PHX,108769.02,16834,106662.66,23378,-2106.36,-0.0194,On-Track,AOP
2024-01,Crunchwell,Kroger,SEA,93230.59,17076,90172.23,17186,-3058.36,-0.0328,Soft,AOP
2024-01,Crunchwell,Kroger,BOS,93230.59,15621,91377.86,14210,-1852.73,-0.0199,On-Track,AOP
2024-01,Crunchwell,Kroger,PHL,124307.46,21618,114981.52,18264,-9325.94,-0.075,Soft,AOP
2024-01,Crunchwell,Kroger,DET,93230.59,15290,91899.41,19205,-1331.18,-0.0143,On-Track,AOP
2024-01,Crunchwell,Kroger,MIA,124307.46,25519,123052.9,19860,-1254.56,-0.0101,On-Track,AOP
2024-01,Crunchwell,Kroger,MS-DMA,55938.36,9423,55393.4,10323,-544.96,-0.0097,On-Track,AOP
2024-01,Crunchwell,Kroger,AL-DMA,77692.16,17227,77806.53,14315,114.37,0.0015,On-Track,AOP
2024-01,Crunchwell,Kroger,AR-DMA,62153.73,10667,62380.78,12608,227.05,0.0037,On-Track,AOP
2024-01,Crunchwell,Kroger,OK-DMA,74584.47,13556,74288.86,16140,-295.61,-0.004,On-Track,AOP
2024-01,Crunchwell,Kroger,ORL,93230.59,14523,93281.67,20270,51.08,0.0005,On-Track,AOP
2024-01,Crunchwell,Kroger,CIN,68369.1,10558,68518.68,14360,149.58,0.0022,On-Track,AOP
2024-01,Crunchwell,Kroger,STL,77692.16,15953,75475.85,15665,-2216.31,-0.0285,On-Track,AOP
2024-01,Crunchwell,Kroger,KAN,62153.73,11243,58423.71,11351,-3730.02,-0.06,Soft,AOP
2024-01,Crunchwell,Kroger,PIT,62153.73,12959,62687.42,11887,533.69,0.0086,On-Track,AOP
2024-01,Crunchwell,Kroger,PDX,62153.73,12621,61060.28,10291,-1093.45,-0.0176,On-Track,AOP
2024-01,Crunchwell,Kroger,SFO,124307.46,24839,122415.26,24538,-1892.2,-0.0152,On-Track,AOP
2024-01,Crunchwell,Kroger,CLE,55938.36,10269,51225.83,9892,-4712.53,-0.0842,Soft,AOP
2024-01,Crunchwell,Kroger,IND,55938.36,11795,52326.91,8063,-3611.45,-0.0646,Soft,AOP
2024-01,Crunchwell,Kroger,BAL,68369.1,14252,67535.58,13303,-833.52,-0.0122,On-Track,AOP
2024-01,Crunchwell,Kroger,WAS,139845.89,26108,128875.41,24175,-10970.48,-0.0784,Soft,AOP
2024-01,Crunchwell,Albertsons,LA-DMA,34589.9,6183,33728.18,6526,-861.72,-0.0249,On-Track,AOP
2024-01,Crunchwell,Albertsons,DAL,77827.28,16522,78552.78,16605,725.5,0.0093,On-Track,AOP
2024-01,Crunchwell,Albertsons,HOU,77827.28,13288,72631.69,15775,-5195.59,-0.0668,Soft,AOP
2024-01,Crunchwell,Albertsons,ATL,69179.8,13363,63537.09,10725,-5642.71,-0.0816,Soft,AOP
2024-01,Crunchwell,Albertsons,CHI,107228.69,18607,108084.19,18160,855.5,0.008,On-Track,AOP
2024-01,Crunchwell,Albertsons,NYC,155654.55,24850,149482.33,27958,-6172.22,-0.0397,Soft,AOP
2024-01,Crunchwell,Albertsons,LAX,138359.6,21396,130047.06,21295,-8312.54,-0.0601,Soft,AOP
2024-01,Crunchwell,Albertsons,MIN,51884.85,8129,51949.88,8942,65.03,0.0013,On-Track,AOP
2024-01,Crunchwell,Albertsons,DEN,43237.38,8038,41067.67,6860,-2169.71,-0.0502,Soft,AOP
2024-01,Crunchwell,Albertsons,PHX,60532.33,10002,57819.56,10141,-2712.77,-0.0448,Soft,AOP
