Snapshot_Date,Store_ID,Banner,Banner_Division,Banner_Region,DMA,State,Size_Tier,SKU,Brand,Auth_Status,Distribution_Status,Ranged_Since,ACV_Weight_Pct,Why_Not_Distributed
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,TG001,TrailGrove,Not_Authorized,Out_Of_Distribution,2020-01-15,0.0202,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,TG002,TrailGrove,Authorized,Distributed,2024-01-15,0.0609,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,TG007,TrailGrove,Not_Authorized,Out_Of_Distribution,2024-01-15,0.0701,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,RD001,RootDay,Not_Authorized,Out_Of_Distribution,2022-01-15,0.0133,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,RD002,RootDay,Authorized,Distributed,2023-01-15,0.1158,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,CR001,Crunchwell,Authorized,Distributed,2024-01-15,0.0624,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,CR002,Crunchwell,Authorized,Distributed,2022-01-15,0.0106,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,CR003,Crunchwell,Authorized,Distributed,2020-01-15,0.1009,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,CR004,Crunchwell,Authorized,Distributed,2020-01-15,0.1014,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,CR005,Crunchwell,Not_Authorized,Out_Of_Distribution,2020-01-15,0.1006,store_choice
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,CR006,Crunchwell,Not_Authorized,Out_Of_Distribution,2025-01-15,0.1073,store_choice
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,CR007,Crunchwell,Authorized,Distributed,2024-01-15,0.0104,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,HN001,HoneyNest,Authorized,Distributed,2023-01-15,0.0741,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,HN003,HoneyNest,Not_Authorized,Out_Of_Distribution,2022-01-15,0.0074,store_choice
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,HN007,HoneyNest,Authorized,Distributed,2022-01-15,0.0742,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,PP001,ProteinPeak,Authorized,Distributed,2020-01-15,0.0081,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,PP002,ProteinPeak,Not_Authorized,Out_Of_Distribution,2018-01-15,0.0385,store_choice
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,MO001,MorningOats,Authorized,Distributed,2024-01-15,0.0359,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,MO004,MorningOats,Authorized,Distributed,2018-01-15,0.1045,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,MO007,MorningOats,Not_Authorized,Out_Of_Distribution,2024-01-15,0.1144,store_choice
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,TG001,TrailGrove,Authorized,Distributed,2022-01-15,0.0879,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,TG002,TrailGrove,Authorized,Distributed,2023-01-15,0.0967,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,TG007,TrailGrove,Authorized,Distributed,2024-01-15,0.0721,None
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,RD001,RootDay,Not_Authorized,Out_Of_Distribution,2024-01-15,0.0653,store_choice
2025-11-30,WAL1072,Walgreens,Walgreens National,Walgreens National,MIN,MN,S,RD002,RootDay,Not_Authorized,Out_Of_Distribution,2025-01-15,0.0889,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,CR001,Crunchwell,Authorized,Distributed,2024-01-15,0.0972,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,CR002,Crunchwell,Authorized,Distributed,2025-01-15,0.081,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,CR003,Crunchwell,Not_Authorized,Out_Of_Distribution,2024-01-15,0.0997,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,CR004,Crunchwell,Authorized,Distributed,2024-01-15,0.0946,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,CR005,Crunchwell,Not_Authorized,Out_Of_Distribution,2018-01-15,0.0477,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,CR006,Crunchwell,Not_Authorized,Out_Of_Distribution,2025-01-15,0.0127,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,CR007,Crunchwell,Authorized,Distributed,2024-01-15,0.0668,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,HN001,HoneyNest,Authorized,Distributed,2018-01-15,0.0985,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,HN003,HoneyNest,Authorized,Distributed,2018-01-15,0.109,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,HN007,HoneyNest,Authorized,Distributed,2023-01-15,0.1145,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,PP001,ProteinPeak,Authorized,Distributed,2025-01-15,0.1169,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,PP002,ProteinPeak,Authorized,Authorized_Not_Distributed,2020-01-15,0.1179,supply_chain
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,MO001,MorningOats,Authorized,Distributed,2020-01-15,0.0755,None
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,MO004,MorningOats,Not_Authorized,Out_Of_Distribution,2025-01-15,0.0073,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,MO007,MorningOats,Not_Authorized,Out_Of_Distribution,2018-01-15,0.0989,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,TG001,TrailGrove,Not_Authorized,Out_Of_Distribution,2022-01-15,0.0654,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,TG002,TrailGrove,Not_Authorized,Out_Of_Distribution,2025-01-15,0.0782,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,TG007,TrailGrove,Not_Authorized,Out_Of_Distribution,2024-01-15,0.0238,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,RD001,RootDay,Not_Authorized,Out_Of_Distribution,2022-01-15,0.0976,store_choice
2025-11-30,WAL1395,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,NYC,NY,M,RD002,RootDay,Not_Authorized,Out_Of_Distribution,2020-01-15,0.0756,store_choice
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,CR001,Crunchwell,Authorized,Distributed,2018-01-15,0.0458,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,CR002,Crunchwell,Authorized,Distributed,2025-01-15,0.0384,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,CR003,Crunchwell,Authorized,Authorized_Not_Distributed,2025-01-15,0.0109,OOS
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,CR004,Crunchwell,Authorized,Distributed,2025-01-15,0.0855,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,CR005,Crunchwell,Authorized,Distributed,2025-01-15,0.0546,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,CR006,Crunchwell,Authorized,Distributed,2025-01-15,0.078,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,CR007,Crunchwell,Not_Authorized,Out_Of_Distribution,2024-01-15,0.1033,store_choice
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,HN001,HoneyNest,Authorized,Distributed,2024-01-15,0.0601,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,HN003,HoneyNest,Authorized,Distributed,2022-01-15,0.0216,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,HN007,HoneyNest,Not_Authorized,Out_Of_Distribution,2024-01-15,0.1015,store_choice
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,PP001,ProteinPeak,Authorized,Distributed,2020-01-15,0.0344,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,PP002,ProteinPeak,Not_Authorized,Out_Of_Distribution,2025-01-15,0.079,store_choice
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,MO001,MorningOats,Authorized,Distributed,2024-01-15,0.089,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,MO004,MorningOats,Not_Authorized,Out_Of_Distribution,2018-01-15,0.1102,store_choice
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,MO007,MorningOats,Authorized,Authorized_Not_Distributed,2018-01-15,0.0453,OOS
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,TG001,TrailGrove,Authorized,Distributed,2022-01-15,0.0582,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,TG002,TrailGrove,Not_Authorized,Out_Of_Distribution,2020-01-15,0.1156,store_choice
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,TG007,TrailGrove,Not_Authorized,Out_Of_Distribution,2024-01-15,0.0531,store_choice
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,RD001,RootDay,Authorized,Distributed,2020-01-15,0.0242,None
2025-11-30,COS1551,Costco,Costco West,Costco West,SEA,WA,M,RD002,RootDay,Authorized,Distributed,2022-01-15,0.023,None
