Date,Platform,Keyword,Category,Volume_Index_0to100,Brand_Relevance,MoM_Growth_Pct,Source
2025-10-01,TikTok,high-protein cereal,RTE Cereal,67.9,category,18.0,Spate
2025-11-01,TikTok,high-protein cereal,RTE Cereal,58.9,category,18.0,Spate
2025-12-01,TikTok,high-protein cereal,RTE Cereal,66.0,category,18.0,Spate
2026-01-01,TikTok,high-protein cereal,RTE Cereal,70.2,category,18.0,Spate
2026-02-01,TikTok,high-protein cereal,RTE Cereal,63.1,category,18.0,Spate
2026-03-01,TikTok,high-protein cereal,RTE Cereal,71.6,category,18.0,Spate
2024-01-01,Google,oat milk barista,Plant-Based Milk,80.6,category,16.0,Spate
2024-02-01,Google,oat milk barista,Plant-Based Milk,92.6,category,16.0,Spate
2024-03-01,Google,oat milk barista,Plant-Based Milk,87.9,category,16.0,Spate
2024-04-01,Google,oat milk barista,Plant-Based Milk,82.2,category,16.0,Spate
2024-05-01,Google,oat milk barista,Plant-Based Milk,90.0,category,16.0,Spate
2024-06-01,Google,oat milk barista,Plant-Based Milk,89.4,category,16.0,Spate
2024-07-01,Google,oat milk barista,Plant-Based Milk,95.7,category,16.0,Spate
2024-08-01,Google,oat milk barista,Plant-Based Milk,91.5,category,16.0,Spate
2024-09-01,Google,oat milk barista,Plant-Based Milk,100.0,category,16.0,Spate
2024-10-01,Google,oat milk barista,Plant-Based Milk,100.0,category,16.0,Spate
2024-11-01,Google,oat milk barista,Plant-Based Milk,96.0,category,16.0,Spate
2024-12-01,Google,oat milk barista,Plant-Based Milk,94.6,category,16.0,Spate
2025-01-01,Google,oat milk barista,Plant-Based Milk,100.0,category,16.0,Spate
2025-02-01,Google,oat milk barista,Plant-Based Milk,99.0,category,16.0,Spate
2025-03-01,Google,oat milk barista,Plant-Based Milk,96.8,category,16.0,Spate
2025-04-01,Google,oat milk barista,Plant-Based Milk,96.7,category,16.0,Spate
2025-05-01,Google,oat milk barista,Plant-Based Milk,100.0,category,16.0,Spate
2025-06-01,Google,oat milk barista,Plant-Based Milk,100.0,category,16.0,Spate
2025-07-01,Google,oat milk barista,Plant-Based Milk,98.6,category,16.0,Spate
