Country,DMA,Region,Category,Channel,Week,Value_USD_MM,Volume_Units_K,Acme_Value_Share,Crunchwell_Value_Share,Larksfield_Value_Share,GeneralMills_Value_Share,Kellanova_Value_Share,PL_Value_Share,Promo_Share,Avg_Price_USD,ACV_Distribution_Pct,TDP,Avg_Facings
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W31,10.566,1645.9,0.0939,0.0749,0.1058,0.2872,0.1942,0.069,0.2614,6.42,82.9,85,6.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W32,11.092,2061.6,0.0767,0.0534,0.1699,0.2344,0.2192,0.1207,0.3227,5.38,90.1,94,6.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W33,11.139,2311.0,0.0927,0.0677,0.1234,0.2165,0.2387,0.0963,0.3719,4.82,83.2,64,5.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W34,2.231,469.8,0.0682,0.0456,0.1633,0.2122,0.2012,0.0913,0.353,4.75,92.5,84,5.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W35,1.344,261.6,0.0803,0.0669,0.1025,0.2377,0.2236,0.1085,0.3429,5.14,89.4,92,5.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W36,10.614,1531.6,0.0631,0.048,0.1591,0.2136,0.2036,0.1241,0.2812,6.93,90.3,80,4.6
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W37,6.66,1376.0,0.0905,0.0714,0.165,0.2757,0.2205,0.1215,0.3376,4.84,78.5,80,6.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W38,2.422,439.6,0.072,0.0547,0.1033,0.2345,0.2336,0.1239,0.2145,5.51,84.7,92,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W39,2.852,534.0,0.0601,0.0461,0.1368,0.3104,0.2307,0.0776,0.2559,5.34,95.5,84,7.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W40,4.11,572.5,0.0682,0.05,0.1741,0.2708,0.2149,0.113,0.396,7.18,80.3,95,4.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W41,1.357,356.2,0.0963,0.072,0.1396,0.3142,0.2403,0.0907,0.196,3.81,74.0,76,5.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W42,7.7,1959.2,0.0701,0.0509,0.1116,0.3102,0.1977,0.1308,0.3829,3.93,88.2,86,3.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W43,9.473,1450.7,0.0751,0.0503,0.1435,0.2684,0.2269,0.1001,0.3578,6.53,96.0,87,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W44,2.706,426.2,0.0814,0.0663,0.1366,0.2879,0.1999,0.0781,0.2192,6.35,91.4,95,5.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W45,6.853,1857.1,0.0912,0.0733,0.1131,0.2074,0.2212,0.1077,0.403,3.69,89.6,94,3.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W46,8.04,2051.0,0.0847,0.067,0.1692,0.2924,0.2137,0.1018,0.404,3.92,77.5,86,6.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W47,1.966,365.4,0.0642,0.0514,0.1651,0.2031,0.207,0.0884,0.3728,5.38,92.4,87,4.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W48,7.328,1020.7,0.0834,0.0594,0.1686,0.2708,0.1831,0.0874,0.3133,7.18,88.0,78,3.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W49,8.042,1608.3,0.0845,0.066,0.1077,0.2062,0.2572,0.0676,0.2391,5.0,78.3,67,6.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W50,0.799,142.0,0.0781,0.0548,0.1772,0.2483,0.2389,0.0707,0.2799,5.63,86.8,84,5.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W51,5.953,1015.9,0.0648,0.0517,0.1687,0.2341,0.2479,0.14,0.3179,5.86,81.6,84,5.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W52,0.947,206.7,0.0951,0.0743,0.1361,0.2541,0.1898,0.0936,0.3223,4.58,95.6,84,4.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W01,8.302,1374.6,0.0707,0.0509,0.1698,0.2257,0.2429,0.1326,0.3347,6.04,88.8,69,5.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W02,7.176,1401.6,0.0796,0.0547,0.1629,0.2454,0.2322,0.0822,0.4003,5.12,90.9,97,5.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W03,9.074,1803.9,0.0862,0.0737,0.1116,0.2167,0.2425,0.1144,0.3538,5.03,72.8,69,4.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W04,11.072,1685.3,0.0766,0.0575,0.108,0.2563,0.2327,0.0653,0.2079,6.57,76.5,89,5.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W05,7.908,2240.3,0.0648,0.0503,0.1742,0.2271,0.2242,0.1199,0.2078,3.53,84.7,75,6.0
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W06,0.726,198.4,0.0856,0.0684,0.1657,0.3059,0.1969,0.0886,0.3821,3.66,76.2,77,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W07,2.662,616.2,0.093,0.0689,0.1485,0.204,0.2532,0.1382,0.3061,4.32,83.4,98,5.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W08,4.691,1163.9,0.084,0.0684,0.1726,0.2406,0.21,0.1197,0.2528,4.03,77.2,88,5.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W09,9.538,1566.1,0.0929,0.069,0.1295,0.2897,0.2442,0.1195,0.2062,6.09,77.0,88,6.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W10,7.935,1854.0,0.0769,0.0606,0.1565,0.2474,0.255,0.086,0.2155,4.28,73.2,89,6.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W11,2.978,414.2,0.0894,0.0654,0.1034,0.2336,0.2202,0.0729,0.3235,7.19,93.7,81,7.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W12,1.589,285.3,0.0806,0.0633,0.1461,0.3043,0.2169,0.0732,0.1928,5.57,88.3,84,6.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W13,9.695,1571.3,0.0803,0.063,0.1132,0.2126,0.2093,0.1106,0.2316,6.17,82.4,79,4.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W14,2.112,338.0,0.0794,0.0623,0.1694,0.2548,0.1872,0.1132,0.3541,6.25,72.5,91,5.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W15,7.483,1187.7,0.0947,0.0714,0.178,0.2793,0.2179,0.0611,0.2081,6.3,93.7,73,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W16,0.805,216.5,0.0881,0.0663,0.1722,0.2069,0.2084,0.1395,0.2715,3.72,87.1,67,6.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W17,6.901,1590.0,0.0982,0.0735,0.1465,0.2255,0.1863,0.0879,0.3667,4.34,75.5,87,5.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W18,1.871,314.0,0.0654,0.0476,0.1295,0.205,0.2094,0.0951,0.1855,5.96,92.8,95,5.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W19,1.569,404.5,0.0722,0.0517,0.1104,0.2761,0.2547,0.1265,0.323,3.88,90.9,76,4.0
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W20,1.128,292.9,0.0758,0.0569,0.176,0.2407,0.2146,0.11,0.2575,3.85,93.3,82,6.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W21,0.766,130.1,0.0789,0.063,0.1591,0.2187,0.188,0.0744,0.1959,5.89,75.4,74,4.6
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W22,2.729,457.9,0.0663,0.0536,0.1423,0.2674,0.2,0.0856,0.2327,5.96,92.3,75,4.0
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W23,8.759,1221.7,0.0939,0.0698,0.1243,0.2754,0.2389,0.0619,0.267,7.17,76.6,84,5.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W24,1.795,349.3,0.0749,0.0519,0.1562,0.3163,0.2225,0.1086,0.3996,5.14,95.0,95,6.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W25,5.791,1385.5,0.0733,0.0487,0.1318,0.203,0.2483,0.1303,0.2977,4.18,94.2,84,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W26,9.889,1602.7,0.078,0.0559,0.1448,0.2444,0.2295,0.1292,0.2928,6.17,82.8,74,4.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W27,0.583,96.6,0.0628,0.0486,0.1226,0.2603,0.2578,0.1206,0.4189,6.04,87.7,68,5.6
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W28,9.029,2090.1,0.0753,0.0621,0.1003,0.2129,0.2375,0.1266,0.2523,4.32,89.5,71,3.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W29,5.55,1290.7,0.074,0.0504,0.1452,0.2045,0.1817,0.1217,0.2374,4.3,89.4,78,3.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W30,0.975,139.1,0.0935,0.0695,0.1152,0.2205,0.2556,0.0893,0.4011,7.01,74.8,88,4.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W31,4.679,1108.7,0.08,0.0646,0.1176,0.2506,0.2023,0.0892,0.2757,4.22,83.1,88,5.6
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W32,9.8,1681.0,0.079,0.0652,0.1161,0.2299,0.2405,0.0873,0.2849,5.83,87.6,90,5.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W33,8.206,1146.1,0.0791,0.0625,0.124,0.2098,0.2395,0.101,0.1848,7.16,78.2,71,6.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W34,8.886,1519.1,0.0823,0.0644,0.1051,0.2313,0.1846,0.08,0.2628,5.85,82.5,80,5.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W35,2.325,513.1,0.0646,0.0504,0.1414,0.2842,0.2071,0.0955,0.3863,4.53,77.4,90,3.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W36,11.107,1765.8,0.0605,0.0452,0.1469,0.2921,0.2498,0.0822,0.1972,6.29,75.8,93,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W37,8.447,1581.7,0.0806,0.0561,0.1081,0.2392,0.2521,0.0704,0.2638,5.34,91.4,83,6.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W38,7.057,1857.2,0.0558,0.0377,0.1131,0.2438,0.2591,0.1107,0.2111,3.8,80.9,95,4.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W39,4.42,1160.1,0.0718,0.0519,0.1792,0.3129,0.191,0.0974,0.3544,3.81,84.7,96,5.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W40,6.675,1770.7,0.0726,0.05,0.1203,0.2531,0.2498,0.1176,0.2003,3.77,77.2,91,4.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W41,6.685,1158.5,0.0677,0.0516,0.1499,0.2697,0.2532,0.0825,0.2491,5.77,87.1,76,4.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W42,3.35,634.5,0.0603,0.041,0.1759,0.2017,0.2418,0.1102,0.41,5.28,74.1,84,5.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W43,11.006,2012.2,0.0685,0.0437,0.1538,0.3059,0.1955,0.0955,0.4179,5.47,87.6,72,4.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W44,10.38,2007.8,0.0552,0.0365,0.1259,0.3006,0.224,0.064,0.3189,5.17,89.3,89,6.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W45,9.592,1722.0,0.0656,0.0445,0.1594,0.2557,0.1954,0.1266,0.2427,5.57,92.5,71,7.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W46,1.297,277.2,0.0519,0.0383,0.1481,0.3076,0.1962,0.1235,0.342,4.68,89.8,76,4.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W47,10.268,2082.8,0.0634,0.0495,0.1049,0.3127,0.2446,0.1186,0.3889,4.93,95.4,83,7.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2025-W48,8.521,2124.9,0.0722,0.0515,0.1457,0.2152,0.2527,0.0745,0.375,4.01,85.6,62,7.4
