response_id,wave,response_date,country,state,dma,city_tier,age_band,gender,household_size,children_present,ethnicity,income_bracket,education_level,marital_status,primary_category,channel_preference,retailer_type,holiday_season_flag,unaided_aw_crunchwell,aided_aw_crunchwell,considers_crunchwell,consideration_set_size,purchase_frequency_qtr,price_sensitivity_1to5,promo_propensity_0to1,usage_primary,taste,quality,health,value,family_friendly,innovation,trust,likelihood_repurchase_1to5,nps_0to10,top_competitor,price_paid_usd,respondent_weight,aided_aw_honeynest,aided_aw_proteinpeak,aided_aw_morningoats,aided_aw_trailgrove,aided_aw_rootday,aided_aw_cheerios,aided_aw_field_honey,aided_aw_frosted_flakes,aided_aw_quaker,aided_aw_great_value_pl
R_00000015,2025Q3,2025-07-11,United States,PA,PIT,Tier 2,25-34,Female,1,0,Non-Hispanic White,50-75K,Some College,Single,Bar,Online,Supermarket,0,0,1,0,3,1,3,0.546,Breakfast,4,4,4,3,3,4,3,3,9,Quaker,6.17,0.9641,1,1,1,0,0,1,0,1,1,1
R_00000016,2025Q1,2025-02-25,United States,CO,DEN,Tier 3,65+,Female,2,2,Non-Hispanic Black,30-50K,Bachelors,Married,Granola,Mixed,Hypermarket,0,1,1,1,3,1,4,0.497,Late Night,5,3,3,4,4,3,4,4,4,Field & Honey,4.95,1.2149,0,1,1,0,0,1,1,1,1,1
R_00000017,2024Q2,2024-05-23,United States,IL,CHI,Tier 3,25-34,Male,2,2,Non-Hispanic White,100-150K,Bachelors,Married,Snacks,Online,Supermarket,0,0,1,1,5,1,4,0.215,Snack,3,2,4,4,2,3,4,4,5,Magic Spoon,4.8,1.0768,1,1,1,1,0,1,1,1,1,1
R_00000018,2025Q1,2025-02-15,United States,AL,AL-DMA,Tier 1,18-24,Male,4,0,Non-Hispanic White,30-50K,Bachelors,Single,RTE Cereal,Mixed,Hypermarket,0,0,1,0,2,1,4,0.504,Late Night,4,3,2,2,4,3,4,4,8,Field & Honey,6.81,0.7208,0,1,1,0,0,1,1,1,1,1
R_00000019,2025Q1,2025-01-05,United States,CA,SFO,Tier 2,65+,Female,2,0,Non-Hispanic White,<30K,Graduate,Single,Snacks,Mixed,Hypermarket,0,0,1,0,0,2,4,0.288,Breakfast,5,3,3,4,5,5,4,2,7,Field & Honey,4.27,1.4821,0,1,0,0,0,1,1,0,1,0
R_00000020,2024Q4,2024-10-28,United States,MA,BOS,Tier 2,25-34,Male,3,0,Non-Hispanic White,100-150K,Some College,Single,Granola,In-store,Online,0,1,1,0,3,0,2,0.745,Breakfast,3,3,4,4,3,3,3,3,8,Frosted Flakes,6.68,0.8982,0,0,0,0,1,1,1,1,1,1
R_00000021,2026Q1,2026-02-17,United States,MA,BOS,Tier 2,35-44,Male,3,1,Non-Hispanic White,50-75K,Graduate,Single,Hot Cereal,Online,Supermarket,0,0,1,1,2,3,4,0.663,Multi-Use,4,3,3,5,4,2,3,3,8,Frosted Flakes,5.98,0.6591,1,0,0,1,1,1,1,1,1,1
R_00000022,2025Q2,2025-06-28,United States,IL,CHI,Tier 2,45-54,Female,1,0,Non-Hispanic White,75-100K,Bachelors,Married,Hot Cereal,In-store,Hypermarket,0,0,1,1,3,1,4,0.752,Post-Workout,5,4,3,4,5,4,4,4,5,Kashi,7.85,0.4862,1,0,1,0,1,1,1,1,1,1
R_00000023,2024Q3,2024-08-08,United States,IL,CHI,Tier 1,65+,Female,1,0,Non-Hispanic Black,<30K,High School,Married,Bar,Online,Club,0,0,1,0,3,6,5,0.554,Breakfast,3,3,4,3,4,5,4,4,6,Kashi,2.87,0.6809,1,1,0,1,1,1,1,1,1,0
R_00000024,2025Q1,2025-02-16,United States,LA,LA-DMA,Tier 1,45-54,Female,3,1,Non-Hispanic White,75-100K,Bachelors,Married,Bar,Online,Hypermarket,0,0,0,0,3,2,3,0.35,Breakfast,4,3,3,3,4,2,3,3,9,Field & Honey,2.91,1.3032,0,1,0,1,0,0,1,0,1,1
R_00000025,2024Q2,2024-05-08,United States,MI,DET,Tier 3,35-44,Female,1,1,Hispanic,30-50K,Some College,Married,Plant-Based Milk,Mixed,Supermarket,0,0,1,0,3,2,2,0.944,Snack,3,5,3,4,5,4,4,4,9,Cheerios,3.37,0.8644,1,1,1,1,0,1,1,1,1,1
R_00000026,2026Q2,2026-04-03,United States,TX,HOU,Tier 2,65+,Male,1,0,Non-Hispanic White,100-150K,High School,Married,RTE Cereal,In-store,Hypermarket,0,0,1,1,3,2,3,0.831,Breakfast,3,3,2,3,4,3,4,4,10,Great Value PL,7.26,0.7401,1,1,1,1,1,1,1,1,1,1
R_00000027,2024Q3,2024-09-04,United States,CA,LAX,Tier 2,18-24,Male,2,0,Non-Hispanic White,50-75K,Bachelors,Married,Snacks,Online,Supermarket,0,0,1,1,4,5,4,0.48,Breakfast,4,3,4,2,3,3,5,2,3,Frosted Flakes,2.82,1.1984,1,0,1,0,1,1,1,1,0,1
R_00000028,2025Q2,2025-04-11,United States,IL,CHI,Tier 1,45-54,Female,3,2,Hispanic,<30K,Graduate,Married,Hot Cereal,In-store,Hypermarket,0,0,1,1,4,3,4,0.778,Breakfast,3,4,2,2,5,3,4,3,10,Great Value PL,4.34,0.7446,0,0,0,1,1,1,1,1,0,0
R_00000029,2025Q2,2025-04-09,United States,MN,MIN,Tier 1,55-64,Male,2,1,Non-Hispanic White,150K+,High School,Married,Snacks,In-store,Hypermarket,0,0,1,1,3,3,4,0.441,Breakfast,2,3,4,4,4,3,4,2,8,Magic Spoon,3.46,0.6412,1,1,1,0,0,1,1,1,1,0
R_00000030,2025Q2,2025-04-03,United States,TX,DAL,Tier 1,65+,Male,2,1,Hispanic,150K+,Graduate,Married,Granola,In-store,Supermarket,0,1,0,0,2,0,1,0.848,Breakfast,3,5,4,3,3,3,4,4,3,Quaker,5.82,1.2955,1,0,1,1,0,1,1,1,1,0
R_00000031,2024Q1,2024-03-21,United States,IL,CHI,Tier 1,65+,Male,2,0,Non-Hispanic White,100-150K,Some College,Divorced,Bar,In-store,Club,0,0,1,1,3,6,4,0.411,Snack,3,3,3,2,4,4,4,3,8,Cheerios,3.33,0.8858,0,0,1,0,1,1,1,1,0,1
R_00000032,2024Q3,2024-08-01,United States,CA,SFO,Tier 1,55-64,Male,1,0,Hispanic,30-50K,Bachelors,Divorced,Hot Cereal,In-store,Hypermarket,0,1,0,0,3,2,4,0.457,Breakfast,5,4,3,4,4,3,3,4,7,Magic Spoon,2.71,0.8465,1,0,0,0,1,1,1,1,0,1
R_00000033,2025Q2,2025-04-13,United States,LA,LA-DMA,Tier 1,35-44,Female,1,0,Hispanic,50-75K,Some College,Married,Snacks,Mixed,Supermarket,0,0,0,0,2,1,4,0.865,Breakfast,4,5,3,5,4,3,4,5,7,Quaker,2.51,0.8443,1,1,0,0,0,1,1,1,1,1
R_00000034,2025Q2,2025-06-09,United States,TX,HOU,Tier 3,25-34,Male,3,0,Non-Hispanic White,100-150K,Bachelors,Single,Snacks,In-store,Hypermarket,0,0,0,0,1,0,5,0.261,Multi-Use,3,3,4,3,3,4,4,3,5,Magic Spoon,6.18,1.3205,1,1,1,0,0,1,1,1,1,0
R_00000035,2026Q2,2026-04-10,United States,CA,LAX,Tier 2,65+,Female,1,0,Non-Hispanic White,50-75K,High School,Married,Hot Cereal,In-store,Supermarket,0,0,1,1,3,1,2,0.473,Breakfast,3,4,4,2,3,3,2,3,7,Quaker,5.07,0.9992,1,0,0,1,1,1,1,1,1,1
R_00000036,2026Q2,2026-05-27,United States,IL,CHI,Tier 2,55-64,Female,2,0,Other,150K+,Graduate,Married,Hot Cereal,In-store,Hypermarket,0,0,0,0,5,4,4,0.494,Snack,3,4,4,3,5,3,3,4,10,Great Value PL,4.99,1.2874,0,0,0,0,1,1,1,1,1,1
R_00000037,2024Q3,2024-07-01,United States,NY,NYC,Tier 1,55-64,Female,1,1,Non-Hispanic White,50-75K,High School,Married,Granola,Online,Hypermarket,0,1,1,1,2,1,4,0.445,Breakfast,2,4,2,3,4,3,3,3,9,Frosted Flakes,3.04,0.704,0,0,1,0,0,1,0,1,0,1
R_00000038,2026Q1,2026-02-13,United States,FL,ORL,Tier 1,35-44,Male,4,1,Non-Hispanic Black,30-50K,High School,Married,Plant-Based Milk,In-store,Supermarket,0,0,1,1,1,6,4,0.364,Breakfast,3,4,2,4,3,3,2,4,6,Frosted Flakes,2.75,0.9681,1,1,1,0,0,1,0,1,1,1
R_00000039,2025Q3,2025-09-06,United States,MI,DET,Tier 2,18-24,Male,2,1,Asian,150K+,Graduate,Married,Plant-Based Milk,Online,Hypermarket,0,1,0,0,0,1,4,0.431,Breakfast,4,3,3,5,3,3,4,3,10,Field & Honey,6.85,0.8956,1,0,1,1,0,1,0,1,0,0
R_00000040,2024Q4,2024-12-02,United States,OK,OK-DMA,Tier 1,55-64,Female,2,0,Non-Hispanic White,75-100K,High School,Married,Plant-Based Milk,Mixed,Supermarket,1,0,1,1,3,0,2,0.573,Snack,4,4,3,3,4,2,4,4,5,Frosted Flakes,4.04,1.4468,0,0,0,0,1,1,0,1,1,0
R_00000041,2026Q2,2026-04-14,United States,MD,BAL,Tier 3,65+,Male,1,0,Non-Hispanic Black,75-100K,Bachelors,Married,Snacks,In-store,Hypermarket,0,1,1,0,2,1,2,0.782,Snack,3,3,3,3,4,4,5,3,6,Field & Honey,5.12,0.7701,0,1,1,1,1,1,1,1,1,0
R_00000042,2024Q2,2024-04-03,United States,CO,DEN,Tier 3,45-54,Female,2,0,Non-Hispanic White,75-100K,Some College,Single,Plant-Based Milk,In-store,Drug,0,1,1,1,3,4,4,0.388,Breakfast,3,5,4,4,3,3,5,4,6,Frosted Flakes,6.94,0.6059,0,0,1,1,1,1,1,1,1,1
R_00000043,2025Q1,2025-03-23,United States,FL,MIA,Tier 2,45-54,Male,4,1,Non-Hispanic White,50-75K,Some College,Single,Snacks,In-store,Supermarket,0,0,0,0,3,2,4,0.758,Breakfast,3,4,5,4,5,3,4,4,5,Field & Honey,4.3,0.9886,0,1,1,1,0,1,1,1,1,1
R_00000044,2024Q3,2024-07-12,United States,CA,LAX,Tier 3,55-64,Female,2,2,Hispanic,30-50K,Graduate,Single,Snacks,In-store,Supermarket,0,0,1,1,2,1,5,0.439,Snack,2,3,3,3,3,4,4,4,8,Magic Spoon,4.55,0.7469,0,1,1,1,1,1,1,1,1,0
R_00000045,2025Q3,2025-07-15,United States,TX,DAL,Tier 1,45-54,Female,2,0,Non-Hispanic White,100-150K,Some College,Married,RTE Cereal,In-store,Supermarket,0,1,1,1,2,4,4,0.226,Snack,4,2,3,3,4,2,4,4,6,Magic Spoon,6.38,0.7367,1,1,0,1,0,1,0,1,0,1
R_00000046,2025Q1,2025-02-07,United States,GA,ATL,Tier 2,25-34,Female,1,0,Hispanic,30-50K,Graduate,Single,Bar,In-store,Supermarket,0,0,1,0,2,1,4,0.875,Snack,3,3,3,5,1,3,5,3,10,Quaker,4.51,1.4428,1,1,1,1,1,1,0,1,0,0
R_00000047,2025Q4,2025-11-19,United States,MN,MIN,Tier 3,45-54,Male,1,0,Non-Hispanic White,100-150K,Bachelors,Divorced,Snacks,In-store,Supermarket,1,1,0,0,4,3,5,0.688,Multi-Use,4,2,4,4,4,3,4,3,8,Quaker,4.28,1.0951,1,1,1,1,1,1,0,1,0,0
R_00000048,2026Q2,2026-05-24,United States,AZ,PHX,Tier 3,65+,Female,3,1,Hispanic,50-75K,Bachelors,Single,Granola,Online,Club,0,0,1,1,3,6,3,0.569,Breakfast,5,4,3,4,4,3,3,3,5,Kashi,7.59,1.3642,1,0,0,1,1,1,1,1,1,1
R_00000049,2024Q2,2024-04-22,United States,DC,WAS,Tier 2,55-64,Male,3,1,Non-Hispanic White,150K+,Graduate,Married,Bar,In-store,Club,0,0,1,0,2,5,5,0.359,Breakfast,3,3,3,3,5,3,5,3,2,Field & Honey,6.7,1.5917,1,1,1,0,1,1,1,1,0,0
R_00000050,2026Q2,2026-04-23,United States,TX,HOU,Tier 2,55-64,Female,3,2,Non-Hispanic White,100-150K,High School,Married,Granola,Online,Hypermarket,0,0,0,0,4,2,3,0.612,Snack,3,2,5,4,5,4,4,3,7,Frosted Flakes,6.7,0.5851,0,1,0,1,1,1,1,1,1,0
R_00000051,2024Q4,2024-10-27,United States,NY,NYC,Tier 2,35-44,Other,3,0,Non-Hispanic White,50-75K,Bachelors,Single,Bar,Online,Hypermarket,0,0,1,0,0,3,3,0.37,Snack,4,5,3,2,4,5,4,3,9,Field & Honey,6.72,0.567,1,0,1,0,1,0,1,1,0,1
R_00000052,2024Q4,2024-12-04,United States,IL,CHI,Tier 1,18-24,Male,2,3,Non-Hispanic White,30-50K,High School,Married,RTE Cereal,In-store,Hypermarket,1,0,1,0,5,0,2,0.259,Post-Workout,3,3,5,4,5,4,4,2,9,Kashi,6.02,0.4148,1,0,1,1,0,1,1,1,1,1
R_00000053,2024Q1,2024-01-12,United States,GA,ATL,Tier 2,45-54,Male,5,1,Non-Hispanic Black,150K+,Some College,Single,Plant-Based Milk,In-store,Supermarket,0,0,1,0,0,2,4,0.569,Multi-Use,4,3,1,2,4,2,2,3,9,Kashi,3.64,0.6651,0,0,0,0,1,1,1,1,1,1
R_00000054,2024Q4,2024-10-04,United States,NY,NYC,Tier 1,18-24,Female,2,1,Hispanic,50-75K,Some College,Married,Snacks,In-store,Supermarket,0,0,1,1,1,3,3,0.236,Breakfast,5,5,2,4,3,3,4,3,4,Frosted Flakes,3.93,0.5425,0,1,1,1,0,1,0,1,1,1
R_00000055,2024Q4,2024-10-09,United States,PA,PHL,Tier 2,45-54,Female,3,0,Non-Hispanic White,75-100K,Graduate,Single,Granola,In-store,Hypermarket,0,0,1,1,2,1,4,0.939,Breakfast,4,4,3,3,3,2,4,3,7,Quaker,5.55,0.7318,0,0,1,1,1,1,0,1,1,1
R_00000056,2025Q1,2025-03-16,United States,PA,PHL,Tier 2,25-34,Male,1,0,Non-Hispanic Black,75-100K,Graduate,Single,Snacks,In-store,Hypermarket,0,1,1,1,4,4,1,0.847,Multi-Use,4,4,3,4,5,2,2,3,6,Great Value PL,6.9,1.4783,1,0,1,0,1,1,1,1,1,0
R_00000057,2024Q3,2024-08-23,United States,MO,KAN,Tier 3,25-34,Female,4,1,Non-Hispanic White,100-150K,Graduate,Widowed,RTE Cereal,In-store,Supermarket,0,0,0,0,0,5,4,0.312,Snack,3,4,4,3,4,2,4,5,6,Kashi,7.51,0.8223,0,0,0,0,0,1,1,1,1,0
R_00000058,2026Q1,2026-02-05,United States,NY,NYC,Tier 1,55-64,Male,4,0,Non-Hispanic Black,100-150K,High School,Single,RTE Cereal,Online,Club,0,1,1,1,1,4,5,0.266,Breakfast,3,2,4,5,4,3,4,4,4,Kashi,2.72,0.4784,1,0,1,0,0,1,0,1,1,1
R_00000059,2025Q2,2025-06-23,United States,AL,AL-DMA,Tier 2,35-44,Male,2,1,Non-Hispanic White,100-150K,Graduate,Married,Plant-Based Milk,Online,Supermarket,0,1,1,0,1,6,4,0.236,Snack,4,5,2,3,4,1,4,3,8,Cheerios,6.93,1.4554,1,0,1,0,0,1,1,1,1,1
R_00000060,2024Q2,2024-04-23,United States,NY,NYC,Tier 1,45-54,Female,3,0,Non-Hispanic White,30-50K,Some College,Divorced,RTE Cereal,Online,Supermarket,0,0,1,1,3,0,4,0.259,Multi-Use,4,4,4,3,4,1,2,4,5,Great Value PL,5.54,1.2532,0,1,0,0,0,1,1,1,1,1
R_00000061,2024Q4,2024-11-10,United States,FL,ORL,Tier 1,35-44,Female,1,2,Non-Hispanic White,<30K,Bachelors,Single,Granola,In-store,Club,1,1,1,0,0,1,3,0.612,Snack,3,3,3,3,3,4,4,5,6,Magic Spoon,3.31,1.5576,1,1,0,0,0,1,1,0,1,1
R_00000062,2024Q1,2024-01-27,United States,CO,DEN,Tier 2,45-54,Female,1,0,Non-Hispanic White,<30K,Bachelors,Single,Plant-Based Milk,In-store,Supermarket,0,1,1,0,4,1,1,0.496,Snack,4,4,3,4,3,4,4,5,6,Field & Honey,5.81,1.5976,0,0,1,1,1,1,1,1,1,1
R_00000063,2025Q1,2025-02-01,United States,IN,IND,Tier 1,45-54,Male,3,0,Non-Hispanic White,75-100K,Bachelors,Single,Hot Cereal,In-store,Hypermarket,0,1,1,0,3,3,4,0.928,Breakfast,3,3,4,3,5,2,5,3,9,Cheerios,7.57,1.4274,0,0,0,1,1,0,1,1,1,0
R_00000064,2025Q4,2025-12-04,United States,IL,CHI,Tier 3,55-64,Female,4,0,Non-Hispanic White,<30K,Some College,Married,RTE Cereal,Mixed,Hypermarket,1,0,1,1,1,1,4,0.224,Breakfast,2,3,2,3,4,3,3,5,7,Magic Spoon,6.69,1.1109,1,0,1,1,0,1,1,1,1,1
R_00000065,2025Q3,2025-07-02,United States,FL,MIA,Tier 1,25-34,Female,4,0,Non-Hispanic Black,150K+,Graduate,Single,RTE Cereal,Online,Hypermarket,0,0,1,0,2,1,5,0.533,Snack,4,4,4,4,4,4,3,4,9,Great Value PL,3.22,0.6056,0,0,1,0,1,1,1,1,1,1
R_00000066,2025Q2,2025-04-07,United States,OK,OK-DMA,Tier 2,35-44,Female,3,0,Non-Hispanic White,<30K,Some College,Single,Granola,In-store,Club,0,0,1,0,0,0,3,0.745,Breakfast,3,4,4,3,3,4,4,4,9,Field & Honey,5.58,0.7299,1,1,0,1,0,1,1,1,0,1
R_00000067,2024Q2,2024-05-06,United States,TX,DAL,Tier 2,25-34,Female,3,0,Hispanic,75-100K,Some College,Married,Plant-Based Milk,Online,Hypermarket,0,0,1,1,3,6,4,0.475,Breakfast,4,5,2,4,4,3,3,4,5,Frosted Flakes,2.62,0.4064,1,1,0,1,0,1,1,1,1,0
R_00000068,2025Q4,2025-12-22,United States,MN,MIN,Tier 1,45-54,Male,4,2,Non-Hispanic White,30-50K,Graduate,Single,Snacks,Mixed,Hypermarket,1,0,1,0,3,2,2,0.831,Snack,4,3,3,3,4,2,4,5,6,Frosted Flakes,4.3,0.7978,0,1,0,1,1,0,1,1,1,1
R_00000069,2025Q2,2025-05-26,United States,TX,HOU,Tier 3,45-54,Male,1,0,Non-Hispanic White,75-100K,Graduate,Married,Granola,In-store,Hypermarket,0,0,0,0,0,3,3,0.404,Snack,2,5,2,3,3,3,4,4,5,Cheerios,6.2,0.9661,0,0,1,1,0,1,1,0,1,1
R_00000070,2026Q1,2026-02-03,United States,AL,AL-DMA,Tier 1,65+,Female,3,0,Hispanic,150K+,High School,Married,Granola,In-store,Supermarket,0,0,0,0,3,6,4,0.745,Snack,4,2,5,4,3,3,4,5,10,Field & Honey,3.93,0.4071,0,1,1,0,1,1,0,1,1,1
R_00000071,2025Q1,2025-03-17,United States,FL,MIA,Tier 2,18-24,Male,4,0,Other,50-75K,Some College,Married,Snacks,In-store,Supermarket,0,0,1,0,0,2,5,0.733,Breakfast,3,4,3,3,5,3,4,4,7,Frosted Flakes,3.17,1.3964,0,1,1,0,0,1,1,1,1,1
R_00000072,2024Q3,2024-07-20,United States,MD,BAL,Tier 3,35-44,Male,2,1,Other,100-150K,Graduate,Married,Granola,Mixed,Supermarket,0,0,1,0,2,3,3,0.845,Snack,3,3,3,1,3,4,4,4,4,Quaker,7.51,0.7496,0,1,1,1,0,1,1,0,0,1
R_00000073,2026Q1,2026-01-27,United States,MD,BAL,Tier 1,55-64,Female,1,0,Hispanic,50-75K,High School,Married,Snacks,Online,Online,0,0,1,1,0,5,3,0.542,Snack,3,4,3,4,5,4,4,3,10,Magic Spoon,3.36,0.6305,1,0,0,1,0,1,0,1,1,1
R_00000074,2024Q2,2024-04-25,United States,IN,IND,Tier 2,45-54,Female,2,0,Non-Hispanic White,100-150K,Bachelors,Single,RTE Cereal,In-store,Supermarket,0,0,1,0,1,1,4,0.728,Snack,3,3,4,4,5,2,3,3,4,Quaker,3.4,0.8931,1,0,0,0,1,1,1,1,1,1
R_00000075,2025Q3,2025-07-19,United States,MN,MIN,Tier 2,18-24,Male,3,2,Hispanic,30-50K,Some College,Married,RTE Cereal,In-store,Hypermarket,0,0,1,0,2,1,2,0.361,Snack,5,4,3,3,3,2,4,5,6,Quaker,3.39,0.9746,1,0,1,0,0,1,1,1,1,1
R_00000076,2024Q2,2024-05-21,United States,NY,NYC,Tier 1,65+,Female,5,2,Non-Hispanic White,100-150K,Bachelors,Married,Granola,Mixed,Supermarket,0,1,1,1,0,1,4,0.204,Multi-Use,4,2,4,5,4,1,5,4,6,Quaker,7.0,1.1391,1,0,1,1,1,1,1,1,1,1
R_00000077,2025Q2,2025-05-22,United States,FL,MIA,Tier 2,55-64,Female,3,0,Non-Hispanic White,75-100K,Some College,Single,Hot Cereal,In-store,Hypermarket,0,0,1,0,2,1,3,0.751,Snack,3,3,4,2,4,3,3,3,4,Kashi,5.3,0.6588,1,1,1,1,0,1,1,1,1,1
R_00000078,2025Q4,2025-12-10,United States,CA,LAX,Tier 1,45-54,Male,2,0,Non-Hispanic White,100-150K,Graduate,Single,Granola,Mixed,Hypermarket,1,0,1,0,5,2,3,0.585,Breakfast,3,3,4,2,4,2,4,3,4,Magic Spoon,4.54,0.4528,1,0,1,1,0,1,1,1,0,1
R_00000079,2024Q1,2024-02-01,United States,CO,DEN,Tier 2,45-54,Female,3,0,Asian,75-100K,Graduate,Married,RTE Cereal,Mixed,Hypermarket,0,0,0,0,5,0,4,0.577,Snack,4,4,3,5,3,2,3,3,9,Kashi,6.59,0.7323,0,0,0,1,0,1,1,1,0,1
R_00000080,2024Q2,2024-04-12,United States,CO,DEN,Tier 1,55-64,Female,5,0,Hispanic,75-100K,Some College,Divorced,Plant-Based Milk,Online,Supermarket,0,0,1,0,3,5,4,0.685,Post-Workout,3,5,4,4,5,2,4,2,3,Magic Spoon,3.45,0.7577,0,1,1,0,0,0,1,1,1,0
R_00000081,2024Q2,2024-06-17,United States,FL,ORL,Tier 2,25-34,Female,2,2,Asian,30-50K,Some College,Married,Bar,Mixed,Supermarket,0,1,1,0,4,5,3,0.271,Breakfast,2,2,4,3,5,2,3,2,1,Quaker,7.56,0.6119,0,0,1,1,1,1,1,1,1,0
R_00000082,2025Q4,2025-11-27,United States,TX,DAL,Tier 1,25-34,Female,4,0,Hispanic,<30K,Some College,Married,Plant-Based Milk,In-store,Hypermarket,1,1,1,0,1,2,4,0.654,Breakfast,4,4,3,3,3,3,3,2,10,Frosted Flakes,6.9,0.9749,0,1,0,1,1,1,1,1,1,1
