Event_ID,Start_Date,End_Date,Brand,Manufacturer,SKU,Product_Description,Retailer,Banner_Division,Banner_Region,DMA,Mechanic,Promo_Depth_Pct,Display_Type,Feature_Type,Trade_Spend_USD,Pre_Promo_Baseline_Units,Promo_Units,Lift_Pct,Incremental_Units,Forward_Buy_Pct,True_Incremental_Units,ROI
PE00013,2026-05-20,2026-06-24,TrailGrove,Acme Corp,TG001,TrailGrove Honey Almond 12oz,H-E-B,H-E-B Other,H-E-B Other,WAS,Feature+Display,25,In-Aisle,Retailer_Circular,14516.75,5534,9884,0.7861,4350,0.0938,3941,0.8
PE00014,2024-11-25,2025-01-06,RootDay,Acme Corp,RD001,RootDay Oat Milk Original 32oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,ATL,TPR,12,None,None,5198.43,5918,9946,0.6807,4028,0.1625,3373,1.1
PE00015,2025-01-25,2025-03-08,Honey Nut Cheerios,Larksfield Foods,GM002,Honey Nut Cheerios 14oz,Target,Target Eastern,Target Eastern,BAL,TPR,15,None,None,981.54,1019,1553,0.5243,534,0.1702,443,0.66
PE00016,2025-04-14,2025-05-26,MorningOats,Acme Corp,MO001,MorningOats Instant Original 8ct,Walmart,Walmart Division 4 - Northeast,Walmart Northeast,NYC,Feature+Display,20,Endcap,Email,8282.12,4892,7856,0.6059,2964,0.2134,2331,0.45
PE00017,2024-11-06,2024-12-11,HoneyNest,Acme Corp,HN003,HoneyNest Chocolate 12oz,H-E-B,H-E-B Other,H-E-B Other,STL,TPR,18,None,Digital_Coupon,433.93,304,550,0.8101,246,0.1981,197,0.85
PE00018,2026-05-03,2026-06-14,Quaker,Walmart PL,QT001,Quaker Old Fashioned 18oz,Kroger,Kroger Atlanta,Kroger Southeast,ATL,Multi-Buy,40,None,Digital_Coupon,17463.97,4118,7965,0.9344,3847,0.1136,3409,0.41
PE00019,2025-08-28,2025-10-02,MorningOats,Acme Corp,MO007,MorningOats Steel Cut 30oz,Target,Target Eastern,Target Eastern,PHL,Display,12,Endcap,None,3078.97,2009,3204,0.5952,1195,0.116,1056,1.16
PE00020,2025-05-21,2025-07-02,Crunchwell,Acme Corp,CR007,Crunchwell Berry Burst 13oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,LAX,TPR,18,None,Digital_Coupon,1141.21,913,1539,0.6865,626,0.2621,461,0.77
PE00021,2025-07-09,2025-08-13,ProteinPeak,Acme Corp,PP003,ProteinPeak Berry Crunch 12oz,Whole Foods,Whole Foods National,Whole Foods National,BAL,TPR,12,None,None,6134.36,5529,6722,0.2158,1193,0.2504,894,0.38
PE00022,2024-11-02,2024-11-23,TrailGrove,Acme Corp,TG007,TrailGrove Bars Honey Almond,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,ATL,TPR,18,None,Digital_Coupon,7998.42,4000,7231,0.808,3231,0.2796,2327,0.62
PE00023,2025-05-04,2025-05-25,HoneyNest,Acme Corp,HN001,HoneyNest Original 12oz,Sprouts,Sprouts National,Sprouts National,CIN,TPR,10,None,None,1634.34,2302,3988,0.7327,1686,0.1213,1481,1.37
PE00024,2024-10-24,2024-11-28,Quaker,Larksfield Foods,QT001,Quaker Old Fashioned 18oz,H-E-B,H-E-B Other,H-E-B Other,BAL,Multi-Buy,12,None,Retailer_Circular,2227.32,2142,3193,0.491,1051,0.1662,876,0.87
PE00025,2024-10-17,2024-11-14,RootDay,Acme Corp,RD001,RootDay Oat Milk Original 32oz,Albertsons,Albertsons West,Albertsons West,LAX,Feature+Display,12,Lobby,Digital_Coupon,4277.14,3645,6419,0.7611,2774,0.2105,2189,0.98
PE00026,2026-04-22,2026-05-27,Crunchwell,Acme Corp,CR002,Crunchwell Original Mega 18oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,ATL,TPR,25,None,Digital_Coupon,11427.9,4287,7405,0.7275,3118,0.1933,2515,0.49
PE00027,2025-01-30,2025-02-20,HoneyNest,Acme Corp,HN003,HoneyNest Chocolate 12oz,Whole Foods,Whole Foods National,Whole Foods National,ORL,TPR,22,None,None,6708.07,4541,7393,0.6281,2852,0.0549,2695,0.78
PE00028,2024-09-02,2024-10-07,HoneyNest,Acme Corp,HN003,HoneyNest Chocolate 12oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,LAX,TPR,20,None,None,5579.48,2848,5429,0.9065,2581,0.2378,1967,0.71
PE00029,2025-04-14,2025-05-12,MorningOats,Acme Corp,MO007,MorningOats Steel Cut 30oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,LA-DMA,Display,20,In-Aisle,None,2217.27,842,1281,0.5223,439,0.354,283,0.46
PE00030,2025-09-01,2025-09-22,Crunchwell,Acme Corp,CR007,Crunchwell Berry Burst 13oz,Albertsons,Albertsons National,Albertsons National,LA-DMA,Multi-Buy,25,None,Digital_Coupon,4669.29,1868,3470,0.8578,1602,0.1915,1295,0.39
PE00031,2025-12-10,2026-01-07,Crunchwell,Acme Corp,CR004,Crunchwell Honey Nut Mega 18oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,DET,TPR,15,None,Digital_Coupon,2080.55,2040,2473,0.2125,433,0.1187,381,0.4
PE00032,2025-01-06,2025-02-10,RootDay,Acme Corp,RD002,RootDay Oat Milk Barista 32oz,Walmart,Walmart Division 3 - Midwest,Walmart Midwest,STL,Display,22,In-Aisle,None,3804.45,1380,2871,1.0805,1491,0.1254,1303,0.57
PE00033,2026-02-19,2026-03-19,TrailGrove,Acme Corp,TG007,TrailGrove Bars Honey Almond,Kroger,Kroger King Soopers,Kroger Mountain,DEN,Multi-Buy,22,None,Digital_Coupon,11196.37,5077,8029,0.5816,2952,0.2801,2125,0.42
PE00034,2026-04-24,2026-05-22,ProteinPeak,Acme Corp,PP005,ProteinPeak Cinnamon Crunch 12oz,Target,Target Eastern,Target Eastern,NYC,TPR,8,None,Digital_Coupon,4942.04,5174,6885,0.3308,1711,0.1689,1421,0.98
PE00035,2025-09-10,2025-10-08,Crunchwell,Acme Corp,CR007,Crunchwell Berry Burst 13oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,WAS,Display,8,In-Aisle,None,605.86,788,1524,0.9343,736,0.2673,539,1.59
PE00036,2024-09-23,2024-10-28,Crunchwell,Acme Corp,CR004,Crunchwell Honey Nut Mega 18oz,Kroger,Kroger Mid-Atlantic,Kroger Mid-Atlantic,NYC,Multi-Buy,8,None,Digital_Coupon,2111.26,3706,4611,0.2444,905,0.3567,582,0.53
PE00037,2026-03-07,2026-03-28,TrailGrove,Acme Corp,TG001,TrailGrove Honey Almond 12oz,Whole Foods,Whole Foods National,Whole Foods National,CLE,Feature,25,None,Retailer_Circular,14272.03,4686,8744,0.8661,4058,0.2457,3060,0.55
PE00038,2026-03-04,2026-04-01,TrailGrove,Acme Corp,TG001,TrailGrove Honey Almond 12oz,Publix,Publix Other,Publix Other,MS-DMA,Display,10,In-Aisle,None,4904.31,4038,6469,0.6022,2431,0.2564,1807,0.77
PE00039,2025-11-22,2025-12-20,TrailGrove,Acme Corp,TG007,TrailGrove Bars Honey Almond,Costco,Costco West,Costco West,SEA,Multi-Buy,8,None,Digital_Coupon,3895.56,5329,7829,0.4693,2500,0.192,2020,0.9
PE00040,2025-05-22,2025-06-12,Crunchwell,Acme Corp,CR007,Crunchwell Berry Burst 13oz,Albertsons,Albertsons National,Albertsons National,CHI,Feature,10,None,None,2472.48,3141,5003,0.593,1862,0.0645,1741,1.05
PE00041,2025-11-24,2026-01-05,Quaker,General Mills,QT001,Quaker Old Fashioned 18oz,Walmart,Walmart Division 1 - South,Walmart South,AR-DMA,Feature+Display,8,In-Aisle,Email,3881.64,4447,8554,0.9238,4107,0.2106,3242,2.07
PE00042,2024-12-15,2025-01-12,Crunchwell,Acme Corp,CR005,Crunchwell Multigrain 13oz,Costco,Costco West,Costco West,LAX,Multi-Buy,15,None,Retailer_Circular,4462.53,4513,7459,0.6529,2946,0.2857,2104,0.95
PE00043,2026-04-19,2026-05-31,HoneyNest,Acme Corp,HN001,HoneyNest Original 12oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,PHL,TPR,10,None,None,1185.35,1844,3001,0.6277,1157,0.1419,992,1.15
PE00044,2025-07-31,2025-08-28,RootDay,Acme Corp,RD002,RootDay Oat Milk Barista 32oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,MIA,Multi-Buy,20,None,Retailer_Circular,4881.52,3141,4720,0.5028,1579,0.1876,1282,0.53
PE00045,2025-10-11,2025-11-01,Crunchwell,Acme Corp,CR004,Crunchwell Honey Nut Mega 18oz,Target,Target Central,Target Central,DET,Feature,25,None,Retailer_Circular,3233.41,1535,2581,0.6814,1046,0.116,924,0.58
PE00046,2026-02-06,2026-02-27,MorningOats,Acme Corp,MO007,MorningOats Steel Cut 30oz,Albertsons,Albertsons National,Albertsons National,ORL,Feature+Display,10,Lobby,Digital_Coupon,5819.07,4863,6713,0.3805,1850,0.2147,1452,0.88
PE00047,2025-11-13,2025-12-04,Crunchwell,Acme Corp,CR003,Crunchwell Honey Nut 14oz,Walmart,Walmart Division 3 - Midwest,Walmart Midwest,STL,Feature,12,None,None,199.83,312,412,0.323,100,0.2976,70,0.48
PE00048,2024-11-25,2024-12-16,Great Value,Larksfield Foods,PL001,GV Honey Toasted Oats 14oz,H-E-B,H-E-B Other,H-E-B Other,SFO,Feature+Display,25,In-Aisle,Retailer_Circular,527.07,362,647,0.789,285,0.1014,256,0.54
PE00049,2025-02-08,2025-03-15,Great Value,PepsiCo,PL001,GV Honey Toasted Oats 14oz,Albertsons,Albertsons National,Albertsons National,ORL,Feature,10,None,Retailer_Circular,2651.17,4333,8223,0.898,3890,0.2156,3051,1.33
PE00050,2026-05-01,2026-05-22,ProteinPeak,Acme Corp,PP005,ProteinPeak Cinnamon Crunch 12oz,Costco,Costco Central,Costco Central,MIN,Multi-Buy,12,None,Digital_Coupon,1732.0,999,1865,0.8679,866,0.0583,815,1.23
PE00051,2025-05-23,2025-06-27,Crunchwell,Acme Corp,CR007,Crunchwell Berry Burst 13oz,Target,Target Eastern,Target Eastern,ATL,Multi-Buy,25,None,Retailer_Circular,9540.24,3766,7530,0.9996,3764,0.203,2999,0.66
PE00052,2025-07-01,2025-07-22,Great Value,Walmart PL,PL002,GV Toasted Oats Original 14oz,Sams Club,Sams Club National,Sams Club National,DET,Display,8,In-Aisle,None,1232.48,2938,5853,0.9925,2915,0.1546,2464,1.76
PE00053,2026-03-19,2026-04-16,Great Value,Kellanova,PL001,GV Honey Toasted Oats 14oz,Target,Target Western,Target Western,PDX,Feature+Display,20,In-Aisle,Digital_Coupon,3206.83,2794,6050,1.1657,3256,0.245,2458,0.76
PE00054,2024-11-05,2024-12-03,Crunchwell,Acme Corp,CR005,Crunchwell Multigrain 13oz,Albertsons,Albertsons East,Albertsons East,PIT,Feature+Display,10,In-Aisle,Retailer_Circular,1156.84,1702,2982,0.7524,1280,0.1833,1045,1.47
PE00055,2025-02-22,2025-03-15,RootDay,Acme Corp,RD002,RootDay Oat Milk Barista 32oz,Albertsons,Albertsons Southwest,Albertsons Southwest,DAL,Feature+Display,25,In-Aisle,Retailer_Circular,1074.33,389,707,0.8193,318,0.346,207,0.46
PE00056,2024-12-30,2025-02-10,Cheerios,Larksfield Foods,GM001,Cheerios 12oz,Walmart,Walmart Division 5 - West,Walmart West,LAX,TPR,15,None,Digital_Coupon,4959.53,4933,8777,0.7794,3844,0.2963,2704,0.77
PE00057,2026-03-09,2026-03-30,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Division 3 - Midwest,Walmart Midwest,MIN,Multi-Buy,12,None,Retailer_Circular,250.04,413,477,0.1568,64,0.0712,59,0.34
PE00058,2026-04-27,2026-05-18,ProteinPeak,Acme Corp,PP005,ProteinPeak Cinnamon Crunch 12oz,Costco,Costco Northeast,Costco Northeast,NYC,Multi-Buy,12,None,Retailer_Circular,5093.02,3323,6024,0.813,2701,0.1759,2225,1.35
PE00059,2026-02-05,2026-03-05,TrailGrove,Acme Corp,TG007,TrailGrove Bars Honey Almond,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,CIN,TPR,25,None,Digital_Coupon,9827.89,4798,7178,0.4962,2380,0.1767,1959,0.45
PE00060,2024-10-30,2024-11-27,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Target,Target Western,Target Western,PHX,Feature,30,None,Email,8762.23,4768,6471,0.3572,1703,0.2015,1359,0.28
PE00061,2026-03-26,2026-04-23,MorningOats,Acme Corp,MO007,MorningOats Steel Cut 30oz,Rouses,Rouses Other,Rouses Other,KAN,Feature+Display,18,Lobby,Retailer_Circular,1537.0,618,1155,0.8694,537,0.2423,406,0.89
PE00062,2026-03-04,2026-04-01,Cheerios,PepsiCo,GM001,Cheerios 12oz,Rouses,Rouses Other,Rouses Other,SFO,TPR,8,None,None,2667.5,3793,7224,0.9048,3431,0.2676,2512,1.37
PE00063,2026-04-20,2026-05-18,Harvest Hearth,Kellanova,PF002,Harvest Hearth 14oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,BAL,Coupon,10,None,Digital_Coupon,2096.16,2935,3726,0.2695,791,0.2062,627,0.54
PE00064,2025-09-25,2025-10-16,ProteinPeak,Acme Corp,PP002,ProteinPeak Chocolate Hazelnut,Sams Club,Sams Club National,Sams Club National,KAN,Display,28,Endcap,None,23013.3,5555,10681,0.9229,5126,0.2421,3884,0.47
PE00065,2026-01-13,2026-02-10,HoneyNest,Acme Corp,HN001,HoneyNest Original 12oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,CHI,Coupon,12,None,Digital_Coupon,6723.76,5553,11026,0.9856,5473,0.3186,3729,1.07
PE00066,2025-01-25,2025-03-08,HoneyNest,Acme Corp,HN007,HoneyNest Frosted Flakes 14oz,Sams Club,Sams Club National,Sams Club National,MIN,Feature,12,None,Digital_Coupon,1153.2,1117,1935,0.7327,818,0.1584,688,0.82
PE00067,2025-11-11,2025-12-16,TrailGrove,Acme Corp,TG007,TrailGrove Bars Honey Almond,Whole Foods,Whole Foods National,Whole Foods National,LAX,TPR,12,None,Digital_Coupon,2754.37,3328,4639,0.3939,1311,0.0637,1227,0.89
PE00068,2026-01-12,2026-02-16,Crunchwell,Acme Corp,CR007,Crunchwell Berry Burst 13oz,Kroger,Kroger King Soopers,Kroger Mountain,DEN,TPR,12,None,Digital_Coupon,3450.07,4155,5291,0.2736,1136,0.2215,884,0.48
PE00069,2026-02-11,2026-03-18,MorningOats,Acme Corp,MO001,MorningOats Instant Original 8ct,H-E-B,H-E-B Other,H-E-B Other,KAN,Feature,22,None,Email,2843.23,1904,2789,0.4649,885,0.14,761,0.44
PE00070,2024-11-03,2024-12-08,TrailGrove,Acme Corp,TG001,TrailGrove Honey Almond 12oz,Kroger,Kroger Mid-Atlantic,Kroger Mid-Atlantic,BAL,Multi-Buy,12,None,Retailer_Circular,4473.98,3167,5299,0.6733,2132,0.0837,1953,1.17
PE00071,2025-11-14,2025-12-05,Crunchwell,Acme Corp,CR006,Crunchwell Cinnamon Twist 14oz,Walmart,Walmart Division 3 - Midwest,Walmart Midwest,CHI,TPR,15,None,None,2719.54,2576,4041,0.5687,1465,0.1564,1235,0.77
PE00072,2025-12-29,2026-01-19,MorningOats,Acme Corp,MO004,MorningOats Cup Maple,Whole Foods,Whole Foods National,Whole Foods National,AL-DMA,TPR,12,None,None,2756.65,5325,8045,0.5108,2720,0.0954,2460,0.95
PE00073,2024-11-19,2024-12-10,Cheerios,PepsiCo,GM001,Cheerios 12oz,H-E-B,H-E-B South Texas,H-E-B South Texas,HOU,TPR,15,None,Digital_Coupon,3979.27,4284,6414,0.4973,2130,0.066,1989,0.77
PE00074,2025-06-23,2025-07-21,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Rouses,Rouses Other,Rouses Other,PHL,Feature+Display,28,Lobby,Digital_Coupon,6746.84,3231,5936,0.8375,2705,0.175,2231,0.43
PE00075,2026-02-03,2026-03-17,Field & Honey,Kellanova,PF001,Field & Honey 14oz,Kroger,Kroger Cincinnati,Kroger Midwest,CIN,Display,25,Endcap,None,5252.14,2586,4319,0.6703,1733,0.0834,1588,0.54
PE00076,2025-05-13,2025-06-24,MorningOats,Acme Corp,MO007,MorningOats Steel Cut 30oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,CHI,Multi-Buy,15,None,Digital_Coupon,11917.37,4952,9425,0.9034,4473,0.2492,3358,0.81
PE00077,2026-05-09,2026-06-06,ProteinPeak,Acme Corp,PP006,ProteinPeak Cocoa Almond 12oz,Sprouts,Sprouts National,Sprouts National,PHL,TPR,25,None,Digital_Coupon,6854.01,2712,3547,0.3079,835,0.2188,652,0.25
PE00078,2025-06-15,2025-07-13,Crunchwell,Acme Corp,CR004,Crunchwell Honey Nut Mega 18oz,Target,Target Eastern,Target Eastern,ATL,TPR,18,None,None,473.09,354,478,0.3521,124,0.2892,88,0.38
PE00079,2026-04-06,2026-05-18,MorningOats,Acme Corp,MO001,MorningOats Instant Original 8ct,Sprouts,Sprouts National,Sprouts National,NYC,TPR,15,None,Digital_Coupon,4258.24,3538,5691,0.6087,2153,0.2168,1686,0.91
PE00080,2026-05-12,2026-06-09,Frosted Flakes,Kellanova,KL001,Frosted Flakes 13.5oz,Walmart,Walmart Division 5 - West,Walmart West,DEN,Multi-Buy,30,None,Retailer_Circular,6985.37,2369,4899,1.0682,2530,0.1367,2184,0.65
PE00081,2025-07-03,2025-08-14,Cheerios,General Mills,GM001,Cheerios 12oz,Walmart,Walmart Division 4 - Northeast,Walmart Northeast,PIT,Feature+Display,15,Lobby,Retailer_Circular,7384.7,5339,10675,0.9995,5336,0.1265,4661,1.05
PE00082,2025-05-21,2025-07-02,Crunchwell,Acme Corp,CR004,Crunchwell Honey Nut Mega 18oz,Sprouts,Sprouts National,Sprouts National,STL,Feature,10,None,Digital_Coupon,3792.77,5635,7453,0.3228,1818,0.1942,1464,0.98
PE00083,2025-10-03,2025-11-07,HoneyNest,Acme Corp,HN001,HoneyNest Original 12oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,MS-DMA,TPR,18,None,None,4050.58,4480,6142,0.3711,1662,0.1666,1385,0.57
PE00084,2025-11-23,2025-12-21,Honey Nut Cheerios,General Mills,GM002,Honey Nut Cheerios 14oz,Sprouts,Sprouts National,Sprouts National,NYC,TPR,35,None,None,11586.03,4625,7288,0.576,2663,0.2937,1880,0.31
PE00085,2024-11-17,2024-12-15,Crunchwell,Acme Corp,CR002,Crunchwell Original Mega 18oz,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,MS-DMA,Display,15,Endcap,None,2432.03,1299,2485,0.913,1186,0.2043,943,0.85
PE00086,2025-06-03,2025-07-15,ProteinPeak,Acme Corp,PP002,ProteinPeak Chocolate Hazelnut,Whole Foods,Whole Foods National,Whole Foods National,ORL,Bundle,30,Endcap,None,18577.25,4526,7505,0.6584,2979,0.1713,2468,0.43
PE00087,2026-02-18,2026-03-25,HoneyNest,Acme Corp,HN003,HoneyNest Chocolate 12oz,Kroger,Kroger Mid-Atlantic,Kroger Mid-Atlantic,WAS,Multi-Buy,15,None,Digital_Coupon,1848.91,1782,2542,0.4267,760,0.1033,681,0.51
PE00088,2026-01-11,2026-02-08,MorningOats,Acme Corp,MO007,MorningOats Steel Cut 30oz,Albertsons,Albertsons East,Albertsons East,NYC,Multi-Buy,22,None,Digital_Coupon,21563.94,5855,10684,0.8248,4829,0.343,3172,0.49
PE00089,2026-03-29,2026-05-03,ProteinPeak,Acme Corp,PP003,ProteinPeak Berry Crunch 12oz,Kroger,Kroger Mariano's,Kroger Midwest,CHI,Feature+Display,10,Lobby,Retailer_Circular,3179.78,1998,3854,0.929,1856,0.0907,1687,1.21
PE00090,2026-05-09,2026-06-20,MorningOats,Acme Corp,MO004,MorningOats Cup Maple,Sprouts,Sprouts National,Sprouts National,CHI,Feature,12,None,Email,3301.19,5027,9615,0.9128,4588,0.2752,3325,0.98
PE00091,2024-09-03,2024-10-15,Honey Nut Cheerios,Kellanova,GM002,Honey Nut Cheerios 14oz,Costco,Costco West,Costco West,LAX,Bundle,25,Lobby,Retailer_Circular,2632.17,1046,2216,1.119,1170,0.194,943,0.61
PE00092,2025-05-09,2025-06-06,Crunchwell,Acme Corp,CR002,Crunchwell Original Mega 18oz,Target,Target Eastern,Target Eastern,MIA,TPR,15,None,None,5514.81,4770,6024,0.2629,1254,0.2203,977,0.35
PE00093,2026-03-02,2026-04-06,TrailGrove,Acme Corp,TG001,TrailGrove Honey Almond 12oz,Target,Target Western,Target Western,SFO,Feature+Display,12,Lobby,Retailer_Circular,6939.58,4105,8356,1.0358,4251,0.2429,3218,1.13
PE00094,2026-03-18,2026-04-29,Frosted Flakes,PepsiCo,KL001,Frosted Flakes 13.5oz,H-E-B,H-E-B Central Texas,H-E-B Central Texas,DAL,Multi-Buy,20,None,Retailer_Circular,2650.57,1835,3126,0.7037,1291,0.194,1040,0.69
PE00095,2025-09-18,2025-10-30,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Sams Club,Sams Club National,Sams Club National,BOS,Display,12,Endcap,None,732.63,722,1495,1.0711,773,0.1902,625,1.16
PE00096,2026-04-08,2026-05-06,RootDay,Acme Corp,RD002,RootDay Oat Milk Barista 32oz,Kroger,Kroger Cincinnati,Kroger Midwest,STL,Display,28,In-Aisle,None,4493.66,1949,3146,0.6145,1197,0.1512,1016,0.41
PE00097,2025-08-09,2025-08-30,TrailGrove,Acme Corp,TG007,TrailGrove Bars Honey Almond,Sprouts,Sprouts National,Sprouts National,HOU,Feature,12,None,Email,3026.52,3261,4571,0.4018,1310,0.2788,944,0.58
PE00098,2025-10-28,2025-11-18,HoneyNest,Acme Corp,HN001,HoneyNest Original 12oz,Walmart,Walmart Division 3 - Midwest,Walmart Midwest,CHI,Feature+Display,8,Lobby,Digital_Coupon,1708.5,2536,4164,0.6421,1628,0.2477,1224,1.11
PE00099,2025-03-12,2025-04-23,MorningOats,Acme Corp,MO004,MorningOats Cup Maple,Sprouts,Sprouts National,Sprouts National,MIA,TPR,15,None,Digital_Coupon,77.64,200,237,0.1889,37,0.2144,29,0.37
PE00100,2024-10-22,2024-11-19,TrailGrove,Acme Corp,TG002,TrailGrove PB Chocolate 12oz,Rouses,Rouses Other,Rouses Other,CHI,TPR,20,None,Digital_Coupon,2839.84,1371,2274,0.6588,903,0.3145,619,0.62
