period,brand,dma,channel,gross_revenue_kusd,trade_spend_kusd,net_revenue_kusd,units_k,acv_dist_pct,share_pct
2025-08,Crunchwell,LA-DMA,Mass,2150,559,1591,491,89,6.6
2025-08,Crunchwell,LA-DMA,Grocery,1840,478,1362,420,78,6.5
2025-08,Crunchwell,LA-DMA,Club,178,12,166,40,42,6.1
2025-08,Crunchwell,LA-DMA,E-commerce,107,9,98,24,0,5.8
2025-09,Crunchwell,LA-DMA,Mass,1950,507,1443,445,84,6.2
2025-09,Crunchwell,LA-DMA,Grocery,1780,463,1317,406,78,6.4
2025-09,Crunchwell,LA-DMA,Club,172,11,161,39,42,6.0
2025-09,Crunchwell,LA-DMA,E-commerce,103,8,95,23,0,5.8
2025-10,Crunchwell,LA-DMA,Mass,1850,481,1369,422,82,6.0
2025-10,Crunchwell,LA-DMA,Grocery,1740,452,1288,397,78,6.3
2025-10,Crunchwell,LA-DMA,Club,170,11,159,38,42,6.0
2025-10,Crunchwell,LA-DMA,E-commerce,104,8,96,23,0,5.8
2025-11,Crunchwell,LA-DMA,Mass,1610,419,1191,367,82,5.4
2025-11,Crunchwell,LA-DMA,Grocery,1380,359,1021,315,78,5.2
2025-11,Crunchwell,LA-DMA,Club,138,9,129,31,42,5.6
2025-11,Crunchwell,LA-DMA,E-commerce,105,8,97,24,0,5.9
2025-12,Crunchwell,LA-DMA,Mass,1490,387,1103,340,82,5.0
2025-12,Crunchwell,LA-DMA,Grocery,1310,341,969,299,78,4.9
2025-12,Crunchwell,LA-DMA,Club,132,9,123,30,42,5.4
2025-12,Crunchwell,LA-DMA,E-commerce,108,9,99,24,0,6.0
2026-01,Crunchwell,LA-DMA,Mass,1240,322,918,283,82,3.8
2026-01,Crunchwell,LA-DMA,Grocery,1140,296,844,261,78,4.0
2026-01,Crunchwell,LA-DMA,Club,128,8,120,29,42,5.2
2026-01,Crunchwell,LA-DMA,E-commerce,112,9,103,25,0,6.1
2026-02,Crunchwell,LA-DMA,Mass,1080,281,799,247,82,3.0
2026-02,Crunchwell,LA-DMA,Grocery,990,257,733,226,78,3.0
2026-02,Crunchwell,LA-DMA,Club,124,8,116,28,42,5.0
2026-02,Crunchwell,LA-DMA,E-commerce,114,9,105,25,0,6.2
2026-03,Crunchwell,LA-DMA,Mass,1140,296,844,260,82,2.9
2026-03,Crunchwell,LA-DMA,Grocery,1040,270,770,238,78,3.0
2026-03,Crunchwell,LA-DMA,Club,126,8,118,29,42,5.0
2026-03,Crunchwell,LA-DMA,E-commerce,118,9,109,26,0,6.3
2025-Q1,Crunchwell,US-MW,All,17400,4520,12880,3970,138,7.4
2025-Q1,Crunchwell,US-NE,All,9800,2548,7252,2236,78,3.8
2025-Q1,Crunchwell,US-SE,All,18500,4810,13690,4220,84,4.9
2025-Q1,Crunchwell,US-PNW,All,4900,1274,3626,1118,121,6.8
2025-Q1,Crunchwell,US-TX,All,11700,3042,8658,2670,109,6.3
2025-Q1,Crunchwell,US-MT,All,3400,884,2516,776,87,5.1
2025-Q1,Crunchwell,US-CA,All,12100,3146,8954,2761,92,5.5
2026-Q1,Crunchwell,US-MW,All,17800,4628,13172,4061,138,7.4
2026-Q1,Crunchwell,US-NE,All,9750,2535,7215,2225,78,3.8
2026-Q1,Crunchwell,US-SE,All,16200,4212,11988,3697,84,4.4
2026-Q1,Crunchwell,US-PNW,All,4880,1269,3611,1114,121,6.7
2026-Q1,Crunchwell,US-TX,All,11550,3003,8547,2636,109,6.0
2026-Q1,Crunchwell,US-MT,All,3380,879,2501,772,87,5.0
2026-Q1,Crunchwell,US-CA,All,12150,3159,8991,2773,92,5.5
2025-04,ProteinPeak,US-National,Mass,1380,180,1200,184,38,7.0
2025-04,ProteinPeak,US-National,Grocery,720,94,626,96,28,7.1
2025-04,ProteinPeak,US-National,Club,180,18,162,24,42,7.4
2025-04,ProteinPeak,US-National,E-commerce,890,116,774,118,0,7.6
2025-Q4,ProteinPeak,US-National,All,12300,1605,10695,1641,38,7.6
2026-Q1,ProteinPeak,US-National,Mass,4100,535,3565,548,38,7.2
2026-Q1,ProteinPeak,US-National,Grocery,2280,297,1983,304,28,7.4
2026-Q1,ProteinPeak,US-National,Club,580,58,522,77,42,7.4
2026-Q1,ProteinPeak,US-National,E-commerce,2980,388,2592,397,0,7.9
2026-04,ProteinPeak,US-National,Mass,1480,193,1287,198,38,7.4
2026-04,ProteinPeak,US-National,Grocery,840,109,731,112,32,7.6
2026-04,ProteinPeak,US-National,Club,202,20,182,27,42,7.5
2026-04,ProteinPeak,US-National,E-commerce,1180,154,1026,157,0,8.1
2026-04,ProteinPeak-PP005,US-National,Mass,84,11,73,11,12,N/A
2026-04,ProteinPeak-PP005,US-National,Grocery,142,18,124,19,18,N/A
2026-04,ProteinPeak-PP005,US-National,E-commerce,228,30,198,30,0,N/A
2026-04,ProteinPeak-PP006,US-National,Mass,62,8,54,8,11,N/A
2026-04,ProteinPeak-PP006,US-National,Grocery,108,14,94,14,16,N/A
2026-04,ProteinPeak-PP006,US-National,E-commerce,162,21,141,22,0,N/A
2026-05,ProteinPeak,US-National,Mass,1670,217,1453,224,40,7.5
2026-05,ProteinPeak,US-National,Grocery,980,127,853,131,34,7.7
2026-05,ProteinPeak,US-National,Club,210,21,189,28,42,7.5
2026-05,ProteinPeak,US-National,E-commerce,1340,174,1166,178,0,8.2
2026-05,ProteinPeak-PP005,US-National,Mass,178,23,155,24,18,N/A
2026-05,ProteinPeak-PP005,US-National,Grocery,296,38,258,40,22,N/A
2026-05,ProteinPeak-PP005,US-National,E-commerce,418,54,364,56,0,N/A
2026-05,ProteinPeak-PP006,US-National,Mass,128,17,111,17,16,N/A
2026-05,ProteinPeak-PP006,US-National,Grocery,224,29,195,30,20,N/A
2026-05,ProteinPeak-PP006,US-National,E-commerce,318,41,277,42,0,N/A
