sku_id,sku_name,brand,retailer,price_elasticity,confidence_0to1,baseline_price_usd,model_method,last_recalibrated,sample_size_weeks,notes
PP005,ProteinPeak Cinnamon Crunch 12oz,ProteinPeak,Whole Foods,-1.02,0.28,7.49,Log-log MMM (provisional),2026-05-04,4,Premium channel; less elastic
PP006,ProteinPeak Cocoa Almond 12oz,ProteinPeak,Target,-1.22,0.30,7.49,Log-log MMM (provisional),2026-05-04,4,Co-launch with PP005; provisional
PP006,ProteinPeak Cocoa Almond 12oz,ProteinPeak,Amazon,-1.32,0.28,7.49,Log-log MMM (provisional),2026-05-04,4,Provisional
PP006,ProteinPeak Cocoa Almond 12oz,ProteinPeak,Whole Foods,-1.08,0.26,7.49,Log-log MMM (provisional),2026-05-04,4,Premium channel; less elastic
MO001,MorningOats Instant Original 8ct,MorningOats,Walmart,-1.36,0.78,4.99,Log-log MMM,2026-04-15,156,
MO004,MorningOats Cup Maple,MorningOats,Costco,-0.98,0.72,2.49,Log-log MMM,2026-04-15,156,Club channel — less elastic
MO004,MorningOats Cup Maple,MorningOats,Walmart,-1.48,0.74,2.49,Log-log MMM,2026-04-15,156,
MO007,MorningOats Steel Cut 30oz,MorningOats,Whole Foods,-0.84,0.62,7.99,Log-log MMM,2026-04-15,124,Premium niche; inelastic
TG001,TrailGrove Honey Almond 12oz,TrailGrove,Whole Foods,-0.78,0.64,6.49,Log-log MMM,2026-04-15,156,Premium granola — inelastic
TG001,TrailGrove Honey Almond 12oz,TrailGrove,Target,-1.02,0.72,6.49,Log-log MMM,2026-04-15,156,
TG002,TrailGrove PB Chocolate 12oz,TrailGrove,Target,-1.08,0.70,6.49,Log-log MMM,2026-04-15,156,
TG007,TrailGrove Bars Honey Almond,TrailGrove,Walmart,-1.34,0.74,5.49,Log-log MMM,2026-04-15,156,
RD001,RootDay Oat Milk Original 32oz,RootDay,Whole Foods,-1.18,0.72,4.99,Log-log MMM,2026-04-15,156,
RD001,RootDay Oat Milk Original 32oz,RootDay,Target,-1.42,0.74,4.99,Log-log MMM,2026-04-15,156,
RD001,RootDay Oat Milk Original 32oz,RootDay,Sprouts,-1.08,0.68,4.99,Log-log MMM,2026-04-15,124,
RD002,RootDay Oat Milk Barista 32oz,RootDay,Whole Foods,-0.94,0.66,5.49,Log-log MMM,2026-04-15,124,Barista occasion inelastic
