cohort,dma,quarter,wave_close_date,hh_penetration_pct,purchases_per_buyer_per_qtr,n_panel_hh
protein-returner,US-NE,FY25Q3,2025-09-15,14.4,4.36,1103
protein-returner,US-NE,FY25Q4,2025-12-15,15.0,4.42,737
protein-returner,US-NE,FY26Q1,2026-03-15,15.3,4.55,1145
protein-returner,US-NE,FY26Q2,2026-06-15,15.5,4.51,1004
loyal-family,US-NAT,FY25Q1,2025-03-15,47.9,6.76,1118
loyal-family,US-NAT,FY25Q2,2025-06-15,47.6,6.81,485
loyal-family,US-NAT,FY25Q3,2025-09-15,47.4,6.82,466
loyal-family,US-NAT,FY25Q4,2025-12-15,46.8,6.88,568
loyal-family,US-NAT,FY26Q1,2026-03-15,46.9,7.09,611
loyal-family,US-NAT,FY26Q2,2026-06-15,46.6,7.09,729
loyal-family,LA-DMA,FY25Q1,2025-03-15,41.8,6.87,704
loyal-family,LA-DMA,FY25Q2,2025-06-15,41.4,6.94,756
loyal-family,LA-DMA,FY25Q3,2025-09-15,40.9,6.88,617
loyal-family,LA-DMA,FY25Q4,2025-12-15,40.9,6.88,633
loyal-family,LA-DMA,FY26Q1,2026-03-15,40.4,6.48,949
loyal-family,LA-DMA,FY26Q2,2026-06-15,40.2,5.91,1155
loyal-family,US-MW,FY25Q1,2025-03-15,53.1,6.79,836
loyal-family,US-MW,FY25Q2,2025-06-15,52.8,6.77,1156
loyal-family,US-MW,FY25Q3,2025-09-15,52.4,6.84,680
loyal-family,US-MW,FY25Q4,2025-12-15,52.2,6.98,628
loyal-family,US-MW,FY26Q1,2026-03-15,51.9,6.97,884
loyal-family,US-MW,FY26Q2,2026-06-15,51.7,6.96,729
loyal-family,US-SE,FY25Q1,2025-03-15,44.2,6.84,549
loyal-family,US-SE,FY25Q2,2025-06-15,43.6,6.91,758
loyal-family,US-SE,FY25Q3,2025-09-15,43.4,6.95,665
loyal-family,US-SE,FY25Q4,2025-12-15,43.5,6.91,1177
loyal-family,US-SE,FY26Q1,2026-03-15,43.2,7.09,904
loyal-family,US-SE,FY26Q2,2026-06-15,42.8,6.95,1055
loyal-family,US-NE,FY25Q1,2025-03-15,43.3,6.73,677
loyal-family,US-NE,FY25Q2,2025-06-15,43.5,6.82,1133
loyal-family,US-NE,FY25Q3,2025-09-15,42.7,6.87,511
loyal-family,US-NE,FY25Q4,2025-12-15,42.9,6.95,1159
loyal-family,US-NE,FY26Q1,2026-03-15,42.2,6.98,616
loyal-family,US-NE,FY26Q2,2026-06-15,42.2,6.96,686
price-shopper,US-NAT,FY25Q1,2025-03-15,22.2,3.36,503
price-shopper,US-NAT,FY25Q2,2025-06-15,22.1,3.42,1180
price-shopper,US-NAT,FY25Q3,2025-09-15,22.5,3.5,958
price-shopper,US-NAT,FY25Q4,2025-12-15,22.3,3.41,909
price-shopper,US-NAT,FY26Q1,2026-03-15,22.5,3.52,996
price-shopper,US-NAT,FY26Q2,2026-06-15,22.8,3.26,850
price-shopper,LA-DMA,FY25Q1,2025-03-15,30.1,3.47,1103
price-shopper,LA-DMA,FY25Q2,2025-06-15,30.3,3.52,1068
price-shopper,LA-DMA,FY25Q3,2025-09-15,30.8,3.44,1041
price-shopper,LA-DMA,FY25Q4,2025-12-15,30.8,3.42,504
price-shopper,LA-DMA,FY26Q1,2026-03-15,30.8,3.53,1054
price-shopper,LA-DMA,FY26Q2,2026-06-15,31.0,3.55,669
price-shopper,US-MW,FY25Q1,2025-03-15,19.3,3.41,565
price-shopper,US-MW,FY25Q2,2025-06-15,19.2,3.48,586
price-shopper,US-MW,FY25Q3,2025-09-15,19.1,3.33,731
price-shopper,US-MW,FY25Q4,2025-12-15,19.2,3.49,998
price-shopper,US-MW,FY26Q1,2026-03-15,19.4,3.44,840
price-shopper,US-MW,FY26Q2,2026-06-15,19.7,3.26,650
price-shopper,US-SE,FY25Q1,2025-03-15,27.0,3.46,909
price-shopper,US-SE,FY25Q2,2025-06-15,27.1,3.25,702
price-shopper,US-SE,FY25Q3,2025-09-15,27.1,3.48,776
price-shopper,US-SE,FY25Q4,2025-12-15,27.3,3.38,787
price-shopper,US-SE,FY26Q1,2026-03-15,27.7,3.37,929
price-shopper,US-SE,FY26Q2,2026-06-15,27.7,3.41,1052
price-shopper,US-NE,FY25Q1,2025-03-15,21.4,3.5,944
price-shopper,US-NE,FY25Q2,2025-06-15,21.8,3.46,1123
price-shopper,US-NE,FY25Q3,2025-09-15,21.5,3.33,697
price-shopper,US-NE,FY25Q4,2025-12-15,22.0,3.34,1063
price-shopper,US-NE,FY26Q1,2026-03-15,22.0,3.31,462
price-shopper,US-NE,FY26Q2,2026-06-15,22.2,3.55,951
