audit_id,audit_date,store_id,store_city,store_state,store_dma,supercenter_format,larksfield_endcap_count,acme_endcap_count,private_label_endcap_count,larksfield_endcap_skus,acme_endcap_skus,facing_count_crunchwell_mega,facing_count_crunchwell_honey_nut_mega,facing_count_field_and_honey,oos_flag_crunchwell_mega,notes
ECA-030,2026-05-11,6202,Thibodaux,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-031,2026-05-11,6301,Slidell,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-032,2026-05-11,6302,Hammond,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-033,2026-05-11,6303,Covington,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-034,2026-05-11,7101,Lake Charles,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-035,2026-05-11,7401,Burbank,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-036,2026-05-11,7501,Burbank,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,Larksfield only at 2 endcaps here (smaller format)
ECA-037,2026-05-11,7502,Lake Charles,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-038,2026-05-11,7503,Baton Rouge,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-039,2026-05-11,7504,Lafayette,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-040,2026-05-11,8101,Houma,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-041,2026-05-11,8201,Hammond,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-042,2026-05-11,8301,Alexandria,LA,LA-DMA,Neighborhood,1,0,1,Field & Honey 14oz,(none),4,4,6,N,Smaller-format; only one endcap fits
ECA-043,2026-05-11,8401,Lafayette,LA,LA-DMA,Neighborhood,1,0,1,Field & Honey 14oz,(none),4,4,6,N,
ECA-044,2026-05-11,8501,Metairie,LA,LA-DMA,Neighborhood,1,0,1,Field & Honey 14oz,(none),4,4,6,N,
ECA-045,2026-05-11,8601,Slidell,LA,LA-DMA,Neighborhood,1,0,1,Field & Honey 14oz,(none),4,4,6,N,
ECA-046,2026-05-11,8701,Shreveport,LA,LA-DMA,Neighborhood,1,0,1,Field & Honey 14oz,(none),4,4,6,N,
ECA-047,2026-05-11,8801,Monroe,LA,LA-DMA,Neighborhood,1,0,1,Field & Honey 14oz,(none),4,4,6,N,
ECA-048,2026-05-11,8901,Lake Charles,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-049,2026-05-11,9001,Lafayette,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-050,2026-05-11,9101,Baton Rouge,LA,LA-DMA,Supercenter,3,0,1,"Field & Honey 14oz, Field & Honey Almond, Harvest Hearth",(none),4,4,6,N,
ECA-051,2026-05-11,9201,Shreveport,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-052,2026-05-11,9301,Monroe,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-053,2026-05-11,9401,Bossier City,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-054,2026-05-11,9501,Alexandria,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-055,2026-05-11,9601,Houma,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-056,2026-05-11,9701,Hammond,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-057,2026-05-11,9801,Slidell,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-058,2026-05-11,9901,Covington,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-059,2026-05-11,10001,Slidell,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-060,2026-05-11,10101,Metairie,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-061,2026-05-11,10201,Kenner,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
ECA-062,2026-05-11,10301,Gretna,LA,LA-DMA,Supercenter,2,0,1,"Field & Honey 14oz, Field & Honey Almond",(none),4,4,6,N,
