sku_id,sku_name,brand,category,subcategory,pack_size_oz,pack_count,price_tier,avg_shelf_price_usd,fy25_revenue_musd,fy25_units_mln,national_acv_pct,launch_year,status
MO007,MorningOats Steel Cut,MorningOats,Hot Cereal,Steel-Cut,30,1,Mid+,7.99,7.3,0.9,38,2014,Active
MO008,MorningOats Overnight Vanilla,MorningOats,Hot Cereal,Overnight,8,1,Premium,5.99,4.7,0.8,26,2024,Active
TG001,TrailGrove Honey Almond,TrailGrove,Granola,Granola Pouch,12,1,Premium,6.49,22.4,3.5,68,2003,Active
TG002,TrailGrove Peanut Butter Chocolate,TrailGrove,Granola,Granola Pouch,12,1,Premium,6.49,18.7,2.9,62,2009,Active
TG003,TrailGrove Maple Pecan,TrailGrove,Granola,Granola Pouch,12,1,Premium,6.79,15.3,2.3,54,2014,Active
TG004,TrailGrove Coconut Cashew,TrailGrove,Granola,Granola Pouch,12,1,Premium,6.79,13.1,1.9,49,2017,Active
TG005,TrailGrove Cinnamon Vanilla,TrailGrove,Granola,Granola Pouch,12,1,Premium,6.49,11.2,1.7,46,2011,Active
TG006,TrailGrove Sea Salt Caramel Clusters,TrailGrove,Granola,Clusters,8,1,Premium,5.99,9.4,1.6,42,2019,Active
TG007,TrailGrove Bars Honey Almond,TrailGrove,Bar,Granola Bar,7.5,6,Premium,5.49,18.4,3.4,58,2008,Active
TG008,TrailGrove Bars Peanut Butter Chocolate,TrailGrove,Bar,Granola Bar,7.5,6,Premium,5.49,16.2,2.9,54,2010,Active
TG009,TrailGrove Bars Mixed Berry,TrailGrove,Bar,Granola Bar,7.5,6,Premium,5.49,13.7,2.5,48,2015,Active
TG010,TrailGrove Trail Mix Original,TrailGrove,Trail Mix,Pouch,10,1,Premium,7.99,13.6,1.7,44,2018,Active
RD001,RootDay Oat Milk Original,RootDay,Plant-Based Milk,Oat,32,1,Premium,4.99,18.4,3.7,52,2017,Active
RD002,RootDay Oat Milk Barista,RootDay,Plant-Based Milk,Oat,32,1,Premium,5.49,12.7,2.3,38,2019,Active
RD003,RootDay Oat Milk Vanilla,RootDay,Plant-Based Milk,Oat,32,1,Premium,4.99,8.4,1.7,29,2020,Active
RD004,RootDay Oat Milk Chocolate,RootDay,Plant-Based Milk,Oat,32,1,Premium,4.99,7.2,1.4,24,2022,Active
RD005,RootDay Oat Milk Unsweetened,RootDay,Plant-Based Milk,Oat,32,1,Premium,4.99,6.1,1.2,26,2018,Active
RD006,RootDay Almond Original,RootDay,Plant-Based Milk,Almond,32,1,Premium,4.49,5.3,1.2,21,2024,Active
RD007,RootDay Almond Vanilla,RootDay,Plant-Based Milk,Almond,32,1,Premium,4.49,2.7,0.6,16,2024,Active
RD008,RootDay Coconut Blend,RootDay,Plant-Based Milk,Coconut,32,1,Premium,4.99,1.2,0.2,11,2025,Active
