brand,dma,wave,wave_close_date,attribute,top_two_box_pct,n_respondents
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Trust,67.4,317
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Relevance,58.6,267
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Quality,64.1,291
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Taste,68.2,180
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Modernity,45.6,247
Crunchwell,US-MW,FY25Q1,2025-03-15,Trust,76.1,225
Crunchwell,US-MW,FY25Q1,2025-03-15,Relevance,71.0,207
Crunchwell,US-MW,FY25Q1,2025-03-15,Quality,73.9,256
Crunchwell,US-MW,FY25Q1,2025-03-15,Taste,77.8,309
Crunchwell,US-MW,FY25Q1,2025-03-15,Modernity,55.3,219
Crunchwell,US-MW,FY25Q2,2025-06-15,Trust,74.7,221
Crunchwell,US-MW,FY25Q2,2025-06-15,Relevance,70.1,315
Crunchwell,US-MW,FY25Q2,2025-06-15,Quality,74.0,262
Crunchwell,US-MW,FY25Q2,2025-06-15,Taste,77.0,208
Crunchwell,US-MW,FY25Q2,2025-06-15,Modernity,55.5,258
Crunchwell,US-MW,FY25Q3,2025-09-15,Trust,74.4,241
Crunchwell,US-MW,FY25Q3,2025-09-15,Relevance,69.9,200
Crunchwell,US-MW,FY25Q3,2025-09-15,Quality,72.0,304
Crunchwell,US-MW,FY25Q3,2025-09-15,Taste,77.8,316
Crunchwell,US-MW,FY25Q3,2025-09-15,Modernity,54.6,212
Crunchwell,US-MW,FY25Q4,2025-12-15,Trust,75.4,320
Crunchwell,US-MW,FY25Q4,2025-12-15,Relevance,67.2,315
Crunchwell,US-MW,FY25Q4,2025-12-15,Quality,73.9,288
Crunchwell,US-MW,FY25Q4,2025-12-15,Taste,78.1,318
Crunchwell,US-MW,FY25Q4,2025-12-15,Modernity,54.1,231
Crunchwell,US-MW,FY26Q1,2026-03-15,Trust,75.5,282
Crunchwell,US-MW,FY26Q1,2026-03-15,Relevance,68.2,275
Crunchwell,US-MW,FY26Q1,2026-03-15,Quality,72.9,312
Crunchwell,US-MW,FY26Q1,2026-03-15,Taste,76.9,243
Crunchwell,US-MW,FY26Q1,2026-03-15,Modernity,52.3,266
Crunchwell,US-MW,FY26Q2,2026-06-15,Trust,73.9,238
Crunchwell,US-MW,FY26Q2,2026-06-15,Relevance,66.2,181
Crunchwell,US-MW,FY26Q2,2026-06-15,Quality,72.0,195
Crunchwell,US-MW,FY26Q2,2026-06-15,Taste,76.3,188
Crunchwell,US-MW,FY26Q2,2026-06-15,Modernity,53.4,198
Crunchwell,US-SE,FY25Q1,2025-03-15,Trust,72.0,251
Crunchwell,US-SE,FY25Q1,2025-03-15,Relevance,68.4,234
Crunchwell,US-SE,FY25Q1,2025-03-15,Quality,70.1,301
Crunchwell,US-SE,FY25Q1,2025-03-15,Taste,73.4,301
Crunchwell,US-SE,FY25Q1,2025-03-15,Modernity,52.7,228
Crunchwell,US-SE,FY25Q2,2025-06-15,Trust,71.0,290
Crunchwell,US-SE,FY25Q2,2025-06-15,Relevance,66.7,285
Crunchwell,US-SE,FY25Q2,2025-06-15,Quality,69.9,193
Crunchwell,US-SE,FY25Q2,2025-06-15,Taste,74.4,205
Crunchwell,US-SE,FY25Q2,2025-06-15,Modernity,50.4,266
Crunchwell,US-SE,FY25Q3,2025-09-15,Trust,72.7,207
Crunchwell,US-SE,FY25Q3,2025-09-15,Relevance,65.4,228
Crunchwell,US-SE,FY25Q3,2025-09-15,Quality,70.1,215
Crunchwell,US-SE,FY25Q3,2025-09-15,Taste,73.8,251
Crunchwell,US-SE,FY25Q3,2025-09-15,Modernity,50.9,199
Crunchwell,US-SE,FY25Q4,2025-12-15,Trust,71.9,320
Crunchwell,US-SE,FY25Q4,2025-12-15,Relevance,64.0,318
Crunchwell,US-SE,FY25Q4,2025-12-15,Quality,70.8,203
Crunchwell,US-SE,FY25Q4,2025-12-15,Taste,75.0,240
Crunchwell,US-SE,FY25Q4,2025-12-15,Modernity,49.7,304
Crunchwell,US-SE,FY26Q1,2026-03-15,Trust,72.0,282
Crunchwell,US-SE,FY26Q1,2026-03-15,Relevance,65.0,222
Crunchwell,US-SE,FY26Q1,2026-03-15,Quality,69.7,279
Crunchwell,US-SE,FY26Q1,2026-03-15,Taste,73.4,296
Crunchwell,US-SE,FY26Q1,2026-03-15,Modernity,49.5,304
Crunchwell,US-SE,FY26Q2,2026-06-15,Trust,71.2,255
Crunchwell,US-SE,FY26Q2,2026-06-15,Relevance,62.3,194
Crunchwell,US-SE,FY26Q2,2026-06-15,Quality,70.2,318
Crunchwell,US-SE,FY26Q2,2026-06-15,Taste,72.9,260
Crunchwell,US-SE,FY26Q2,2026-06-15,Modernity,48.4,302
Crunchwell,US-NE,FY25Q1,2025-03-15,Trust,68.0,315
Crunchwell,US-NE,FY25Q1,2025-03-15,Relevance,63.2,310
Crunchwell,US-NE,FY25Q1,2025-03-15,Quality,65.0,227
Crunchwell,US-NE,FY25Q1,2025-03-15,Taste,69.0,197
Crunchwell,US-NE,FY25Q1,2025-03-15,Modernity,48.4,240
Crunchwell,US-NE,FY25Q2,2025-06-15,Trust,67.8,243
Crunchwell,US-NE,FY25Q2,2025-06-15,Relevance,63.2,190
Crunchwell,US-NE,FY25Q2,2025-06-15,Quality,66.3,287
Crunchwell,US-NE,FY25Q2,2025-06-15,Taste,70.4,313
Crunchwell,US-NE,FY25Q2,2025-06-15,Modernity,47.1,246
Crunchwell,US-NE,FY25Q3,2025-09-15,Trust,67.3,260
Crunchwell,US-NE,FY25Q3,2025-09-15,Relevance,61.4,281
Crunchwell,US-NE,FY25Q3,2025-09-15,Quality,65.1,256
Crunchwell,US-NE,FY25Q3,2025-09-15,Taste,69.9,198
Crunchwell,US-NE,FY25Q3,2025-09-15,Modernity,45.8,205
Crunchwell,US-NE,FY25Q4,2025-12-15,Trust,67.0,234
Crunchwell,US-NE,FY25Q4,2025-12-15,Relevance,61.0,213
Crunchwell,US-NE,FY25Q4,2025-12-15,Quality,67.0,197
Crunchwell,US-NE,FY25Q4,2025-12-15,Taste,70.9,274
Crunchwell,US-NE,FY25Q4,2025-12-15,Modernity,46.0,292
Crunchwell,US-NE,FY26Q1,2026-03-15,Trust,68.8,257
Crunchwell,US-NE,FY26Q1,2026-03-15,Relevance,60.3,315
Crunchwell,US-NE,FY26Q1,2026-03-15,Quality,64.8,256
Crunchwell,US-NE,FY26Q1,2026-03-15,Taste,71.0,206
Crunchwell,US-NE,FY26Q1,2026-03-15,Modernity,47.1,214
Crunchwell,US-NE,FY26Q2,2026-06-15,Trust,67.4,207
Crunchwell,US-NE,FY26Q2,2026-06-15,Relevance,59.6,219
Crunchwell,US-NE,FY26Q2,2026-06-15,Quality,65.5,233
Crunchwell,US-NE,FY26Q2,2026-06-15,Taste,70.5,232
Crunchwell,US-NE,FY26Q2,2026-06-15,Modernity,45.9,247
ProteinPeak,US-NAT,FY25Q4,2025-12-15,Trust,58.0,244
ProteinPeak,US-NAT,FY25Q4,2025-12-15,Relevance,77.0,193
ProteinPeak,US-NAT,FY25Q4,2025-12-15,Quality,70.0,288
ProteinPeak,US-NAT,FY25Q4,2025-12-15,Taste,64.8,191
ProteinPeak,US-NAT,FY25Q4,2025-12-15,Modernity,76.8,213
ProteinPeak,US-NAT,FY26Q1,2026-03-15,Trust,58.3,247
ProteinPeak,US-NAT,FY26Q1,2026-03-15,Relevance,75.2,293
ProteinPeak,US-NAT,FY26Q1,2026-03-15,Quality,71.1,289
ProteinPeak,US-NAT,FY26Q1,2026-03-15,Taste,64.1,208
ProteinPeak,US-NAT,FY26Q1,2026-03-15,Modernity,77.0,218
ProteinPeak,US-NAT,FY26Q2,2026-06-15,Trust,58.1,274
ProteinPeak,US-NAT,FY26Q2,2026-06-15,Relevance,76.2,217
ProteinPeak,US-NAT,FY26Q2,2026-06-15,Quality,70.8,190
ProteinPeak,US-NAT,FY26Q2,2026-06-15,Taste,63.5,190
ProteinPeak,US-NAT,FY26Q2,2026-06-15,Modernity,79.0,233
ProteinPeak,LA-DMA,FY25Q4,2025-12-15,Trust,58.4,206
ProteinPeak,LA-DMA,FY25Q4,2025-12-15,Relevance,75.6,284
ProteinPeak,LA-DMA,FY25Q4,2025-12-15,Quality,72.1,219
ProteinPeak,LA-DMA,FY25Q4,2025-12-15,Taste,65.0,240
ProteinPeak,LA-DMA,FY25Q4,2025-12-15,Modernity,78.9,225
ProteinPeak,LA-DMA,FY26Q1,2026-03-15,Trust,58.9,186
ProteinPeak,LA-DMA,FY26Q1,2026-03-15,Relevance,75.2,265
ProteinPeak,LA-DMA,FY26Q1,2026-03-15,Quality,71.7,285
ProteinPeak,LA-DMA,FY26Q1,2026-03-15,Taste,64.7,243
ProteinPeak,LA-DMA,FY26Q1,2026-03-15,Modernity,77.4,207
ProteinPeak,LA-DMA,FY26Q2,2026-06-15,Trust,57.7,189
ProteinPeak,LA-DMA,FY26Q2,2026-06-15,Relevance,76.9,236
ProteinPeak,LA-DMA,FY26Q2,2026-06-15,Quality,70.3,297
ProteinPeak,LA-DMA,FY26Q2,2026-06-15,Taste,63.6,238
ProteinPeak,LA-DMA,FY26Q2,2026-06-15,Modernity,77.3,229
ProteinPeak,US-MW,FY25Q4,2025-12-15,Trust,57.8,251
ProteinPeak,US-MW,FY25Q4,2025-12-15,Relevance,76.9,251
ProteinPeak,US-MW,FY25Q4,2025-12-15,Quality,70.6,310
ProteinPeak,US-MW,FY25Q4,2025-12-15,Taste,63.8,317
ProteinPeak,US-MW,FY25Q4,2025-12-15,Modernity,77.6,187
ProteinPeak,US-MW,FY26Q1,2026-03-15,Trust,57.1,246
ProteinPeak,US-MW,FY26Q1,2026-03-15,Relevance,75.2,247
ProteinPeak,US-MW,FY26Q1,2026-03-15,Quality,69.9,291
ProteinPeak,US-MW,FY26Q1,2026-03-15,Taste,63.6,260
ProteinPeak,US-MW,FY26Q1,2026-03-15,Modernity,77.8,310
ProteinPeak,US-MW,FY26Q2,2026-06-15,Trust,57.1,228
ProteinPeak,US-MW,FY26Q2,2026-06-15,Relevance,75.4,291
ProteinPeak,US-MW,FY26Q2,2026-06-15,Quality,69.8,317
ProteinPeak,US-MW,FY26Q2,2026-06-15,Taste,64.4,230
ProteinPeak,US-MW,FY26Q2,2026-06-15,Modernity,77.7,197
ProteinPeak,US-SE,FY25Q4,2025-12-15,Trust,59.1,264
ProteinPeak,US-SE,FY25Q4,2025-12-15,Relevance,76.3,211
ProteinPeak,US-SE,FY25Q4,2025-12-15,Quality,71.5,256
ProteinPeak,US-SE,FY25Q4,2025-12-15,Taste,64.0,284
ProteinPeak,US-SE,FY25Q4,2025-12-15,Modernity,77.6,255
ProteinPeak,US-SE,FY26Q1,2026-03-15,Trust,58.1,229
ProteinPeak,US-SE,FY26Q1,2026-03-15,Relevance,75.8,277
ProteinPeak,US-SE,FY26Q1,2026-03-15,Quality,71.4,224
ProteinPeak,US-SE,FY26Q1,2026-03-15,Taste,64.3,257
ProteinPeak,US-SE,FY26Q1,2026-03-15,Modernity,77.8,180
ProteinPeak,US-SE,FY26Q2,2026-06-15,Trust,57.5,233
ProteinPeak,US-SE,FY26Q2,2026-06-15,Relevance,75.8,262
ProteinPeak,US-SE,FY26Q2,2026-06-15,Quality,70.9,293
ProteinPeak,US-SE,FY26Q2,2026-06-15,Taste,64.4,310
ProteinPeak,US-SE,FY26Q2,2026-06-15,Modernity,77.9,223
ProteinPeak,US-NE,FY25Q4,2025-12-15,Trust,58.4,252
ProteinPeak,US-NE,FY25Q4,2025-12-15,Relevance,76.0,265
ProteinPeak,US-NE,FY25Q4,2025-12-15,Quality,70.0,240
ProteinPeak,US-NE,FY25Q4,2025-12-15,Taste,64.4,237
ProteinPeak,US-NE,FY25Q4,2025-12-15,Modernity,78.7,217
ProteinPeak,US-NE,FY26Q1,2026-03-15,Trust,56.9,242
ProteinPeak,US-NE,FY26Q1,2026-03-15,Relevance,77.2,198
ProteinPeak,US-NE,FY26Q1,2026-03-15,Quality,70.9,229
ProteinPeak,US-NE,FY26Q1,2026-03-15,Taste,64.5,278
ProteinPeak,US-NE,FY26Q1,2026-03-15,Modernity,78.0,242
ProteinPeak,US-NE,FY26Q2,2026-06-15,Trust,57.2,181
ProteinPeak,US-NE,FY26Q2,2026-06-15,Relevance,76.9,207
ProteinPeak,US-NE,FY26Q2,2026-06-15,Quality,71.7,236
ProteinPeak,US-NE,FY26Q2,2026-06-15,Taste,63.2,312
ProteinPeak,US-NE,FY26Q2,2026-06-15,Modernity,77.9,243
HoneyNest,US-NAT,FY25Q1,2025-03-15,Trust,65.0,211
HoneyNest,US-NAT,FY25Q1,2025-03-15,Relevance,50.9,298
HoneyNest,US-NAT,FY25Q1,2025-03-15,Quality,60.4,261
HoneyNest,US-NAT,FY25Q1,2025-03-15,Taste,71.1,293
HoneyNest,US-NAT,FY25Q1,2025-03-15,Modernity,38.3,309
HoneyNest,US-NAT,FY25Q2,2025-06-15,Trust,63.8,320
HoneyNest,US-NAT,FY25Q2,2025-06-15,Relevance,50.9,220
HoneyNest,US-NAT,FY25Q2,2025-06-15,Quality,60.6,301
HoneyNest,US-NAT,FY25Q2,2025-06-15,Taste,69.9,243
HoneyNest,US-NAT,FY25Q2,2025-06-15,Modernity,38.8,250
HoneyNest,US-NAT,FY25Q3,2025-09-15,Trust,64.6,313
HoneyNest,US-NAT,FY25Q3,2025-09-15,Relevance,51.0,241
HoneyNest,US-NAT,FY25Q3,2025-09-15,Quality,59.5,199
HoneyNest,US-NAT,FY25Q3,2025-09-15,Taste,70.5,240
HoneyNest,US-NAT,FY25Q3,2025-09-15,Modernity,37.5,261
HoneyNest,US-NAT,FY25Q4,2025-12-15,Trust,64.9,200
HoneyNest,US-NAT,FY25Q4,2025-12-15,Relevance,50.1,239
HoneyNest,US-NAT,FY25Q4,2025-12-15,Quality,59.7,219
HoneyNest,US-NAT,FY25Q4,2025-12-15,Taste,70.5,196
HoneyNest,US-NAT,FY25Q4,2025-12-15,Modernity,37.8,264
HoneyNest,US-NAT,FY26Q1,2026-03-15,Trust,64.1,286
HoneyNest,US-NAT,FY26Q1,2026-03-15,Relevance,49.9,287
HoneyNest,US-NAT,FY26Q1,2026-03-15,Quality,59.7,185
HoneyNest,US-NAT,FY26Q1,2026-03-15,Taste,70.9,277
HoneyNest,US-NAT,FY26Q1,2026-03-15,Modernity,37.9,270
HoneyNest,US-NAT,FY26Q2,2026-06-15,Trust,63.5,279
HoneyNest,US-NAT,FY26Q2,2026-06-15,Relevance,51.8,287
HoneyNest,US-NAT,FY26Q2,2026-06-15,Quality,60.1,319
HoneyNest,US-NAT,FY26Q2,2026-06-15,Taste,70.7,236
HoneyNest,US-NAT,FY26Q2,2026-06-15,Modernity,38.0,249
HoneyNest,LA-DMA,FY25Q1,2025-03-15,Trust,63.8,187
HoneyNest,LA-DMA,FY25Q1,2025-03-15,Relevance,50.7,283
HoneyNest,LA-DMA,FY25Q1,2025-03-15,Quality,60.5,299
HoneyNest,LA-DMA,FY25Q1,2025-03-15,Taste,71.0,316
HoneyNest,LA-DMA,FY25Q1,2025-03-15,Modernity,36.9,280
HoneyNest,LA-DMA,FY25Q2,2025-06-15,Trust,64.2,186
HoneyNest,LA-DMA,FY25Q2,2025-06-15,Relevance,50.0,289
HoneyNest,LA-DMA,FY25Q2,2025-06-15,Quality,59.1,298
HoneyNest,LA-DMA,FY25Q2,2025-06-15,Taste,69.2,246
HoneyNest,LA-DMA,FY25Q2,2025-06-15,Modernity,37.7,234
HoneyNest,LA-DMA,FY25Q3,2025-09-15,Trust,63.9,266
HoneyNest,LA-DMA,FY25Q3,2025-09-15,Relevance,51.6,277
HoneyNest,LA-DMA,FY25Q3,2025-09-15,Quality,59.5,287
HoneyNest,LA-DMA,FY25Q3,2025-09-15,Taste,69.4,200
HoneyNest,LA-DMA,FY25Q3,2025-09-15,Modernity,37.9,318
HoneyNest,LA-DMA,FY25Q4,2025-12-15,Trust,62.9,269
HoneyNest,LA-DMA,FY25Q4,2025-12-15,Relevance,50.3,197
HoneyNest,LA-DMA,FY25Q4,2025-12-15,Quality,60.7,190
HoneyNest,LA-DMA,FY25Q4,2025-12-15,Taste,70.6,243
HoneyNest,LA-DMA,FY25Q4,2025-12-15,Modernity,37.3,185
HoneyNest,LA-DMA,FY26Q1,2026-03-15,Trust,64.3,241
HoneyNest,LA-DMA,FY26Q1,2026-03-15,Relevance,50.1,209
HoneyNest,LA-DMA,FY26Q1,2026-03-15,Quality,60.2,235
HoneyNest,LA-DMA,FY26Q1,2026-03-15,Taste,69.9,245
HoneyNest,LA-DMA,FY26Q1,2026-03-15,Modernity,38.6,222
HoneyNest,LA-DMA,FY26Q2,2026-06-15,Trust,64.3,209
HoneyNest,LA-DMA,FY26Q2,2026-06-15,Relevance,51.7,221
HoneyNest,LA-DMA,FY26Q2,2026-06-15,Quality,61.1,207
HoneyNest,LA-DMA,FY26Q2,2026-06-15,Taste,70.2,259
HoneyNest,LA-DMA,FY26Q2,2026-06-15,Modernity,38.2,276
HoneyNest,US-MW,FY25Q1,2025-03-15,Trust,63.8,230
HoneyNest,US-MW,FY25Q1,2025-03-15,Relevance,50.0,242
HoneyNest,US-MW,FY25Q1,2025-03-15,Quality,59.0,257
HoneyNest,US-MW,FY25Q1,2025-03-15,Taste,70.8,210
HoneyNest,US-MW,FY25Q1,2025-03-15,Modernity,38.7,190
HoneyNest,US-MW,FY25Q2,2025-06-15,Trust,63.6,289
HoneyNest,US-MW,FY25Q2,2025-06-15,Relevance,51.4,197
HoneyNest,US-MW,FY25Q2,2025-06-15,Quality,60.0,267
HoneyNest,US-MW,FY25Q2,2025-06-15,Taste,68.8,287
HoneyNest,US-MW,FY25Q2,2025-06-15,Modernity,38.8,207
HoneyNest,US-MW,FY25Q3,2025-09-15,Trust,63.8,272
HoneyNest,US-MW,FY25Q3,2025-09-15,Relevance,51.3,297
HoneyNest,US-MW,FY25Q3,2025-09-15,Quality,60.5,291
HoneyNest,US-MW,FY25Q3,2025-09-15,Taste,69.2,313
HoneyNest,US-MW,FY25Q3,2025-09-15,Modernity,39.1,249
HoneyNest,US-MW,FY25Q4,2025-12-15,Trust,64.3,317
HoneyNest,US-MW,FY25Q4,2025-12-15,Relevance,51.7,299
HoneyNest,US-MW,FY25Q4,2025-12-15,Quality,59.8,248
HoneyNest,US-MW,FY25Q4,2025-12-15,Taste,69.6,242
HoneyNest,US-MW,FY25Q4,2025-12-15,Modernity,38.8,202
HoneyNest,US-MW,FY26Q1,2026-03-15,Trust,63.5,295
HoneyNest,US-MW,FY26Q1,2026-03-15,Relevance,50.4,298
HoneyNest,US-MW,FY26Q1,2026-03-15,Quality,60.2,277
HoneyNest,US-MW,FY26Q1,2026-03-15,Taste,69.6,306
HoneyNest,US-MW,FY26Q1,2026-03-15,Modernity,38.8,226
HoneyNest,US-MW,FY26Q2,2026-06-15,Trust,64.0,270
HoneyNest,US-MW,FY26Q2,2026-06-15,Relevance,51.7,267
HoneyNest,US-MW,FY26Q2,2026-06-15,Quality,59.5,250
HoneyNest,US-MW,FY26Q2,2026-06-15,Taste,70.1,312
HoneyNest,US-MW,FY26Q2,2026-06-15,Modernity,39.1,201
HoneyNest,US-SE,FY25Q1,2025-03-15,Trust,63.4,284
HoneyNest,US-SE,FY25Q1,2025-03-15,Relevance,51.0,241
HoneyNest,US-SE,FY25Q1,2025-03-15,Quality,60.5,305
HoneyNest,US-SE,FY25Q1,2025-03-15,Taste,69.9,184
HoneyNest,US-SE,FY25Q1,2025-03-15,Modernity,37.0,236
HoneyNest,US-SE,FY25Q2,2025-06-15,Trust,63.8,242
HoneyNest,US-SE,FY25Q2,2025-06-15,Relevance,50.5,274
HoneyNest,US-SE,FY25Q2,2025-06-15,Quality,59.9,315
HoneyNest,US-SE,FY25Q2,2025-06-15,Taste,69.6,320
HoneyNest,US-SE,FY25Q2,2025-06-15,Modernity,37.6,296
HoneyNest,US-SE,FY25Q3,2025-09-15,Trust,63.5,244
HoneyNest,US-SE,FY25Q3,2025-09-15,Relevance,50.4,229
HoneyNest,US-SE,FY25Q3,2025-09-15,Quality,59.6,317
HoneyNest,US-SE,FY25Q3,2025-09-15,Taste,71.1,227
HoneyNest,US-SE,FY25Q3,2025-09-15,Modernity,37.3,303
HoneyNest,US-SE,FY25Q4,2025-12-15,Trust,63.5,314
HoneyNest,US-SE,FY25Q4,2025-12-15,Relevance,51.2,205
HoneyNest,US-SE,FY25Q4,2025-12-15,Quality,60.8,255
HoneyNest,US-SE,FY25Q4,2025-12-15,Taste,69.3,225
HoneyNest,US-SE,FY25Q4,2025-12-15,Modernity,37.5,316
HoneyNest,US-SE,FY26Q1,2026-03-15,Trust,63.1,191
HoneyNest,US-SE,FY26Q1,2026-03-15,Relevance,52.1,254
HoneyNest,US-SE,FY26Q1,2026-03-15,Quality,60.5,212
HoneyNest,US-SE,FY26Q1,2026-03-15,Taste,70.3,305
HoneyNest,US-SE,FY26Q1,2026-03-15,Modernity,37.0,183
HoneyNest,US-SE,FY26Q2,2026-06-15,Trust,64.2,300
HoneyNest,US-SE,FY26Q2,2026-06-15,Relevance,50.9,267
HoneyNest,US-SE,FY26Q2,2026-06-15,Quality,59.2,193
HoneyNest,US-SE,FY26Q2,2026-06-15,Taste,69.4,302
HoneyNest,US-SE,FY26Q2,2026-06-15,Modernity,37.1,196
HoneyNest,US-NE,FY25Q1,2025-03-15,Trust,63.8,198
HoneyNest,US-NE,FY25Q1,2025-03-15,Relevance,51.2,193
HoneyNest,US-NE,FY25Q1,2025-03-15,Quality,59.2,257
HoneyNest,US-NE,FY25Q1,2025-03-15,Taste,69.0,243
HoneyNest,US-NE,FY25Q1,2025-03-15,Modernity,37.1,286
HoneyNest,US-NE,FY25Q2,2025-06-15,Trust,64.3,237
HoneyNest,US-NE,FY25Q2,2025-06-15,Relevance,51.7,277
HoneyNest,US-NE,FY25Q2,2025-06-15,Quality,59.9,293
HoneyNest,US-NE,FY25Q2,2025-06-15,Taste,69.5,289
HoneyNest,US-NE,FY25Q2,2025-06-15,Modernity,37.5,195
HoneyNest,US-NE,FY25Q3,2025-09-15,Trust,64.3,205
HoneyNest,US-NE,FY25Q3,2025-09-15,Relevance,52.1,233
HoneyNest,US-NE,FY25Q3,2025-09-15,Quality,60.3,247
HoneyNest,US-NE,FY25Q3,2025-09-15,Taste,70.4,220
HoneyNest,US-NE,FY25Q3,2025-09-15,Modernity,37.4,199
HoneyNest,US-NE,FY25Q4,2025-12-15,Trust,63.2,284
HoneyNest,US-NE,FY25Q4,2025-12-15,Relevance,50.9,300
HoneyNest,US-NE,FY25Q4,2025-12-15,Quality,59.5,239
HoneyNest,US-NE,FY25Q4,2025-12-15,Taste,69.5,252
HoneyNest,US-NE,FY25Q4,2025-12-15,Modernity,38.5,296
HoneyNest,US-NE,FY26Q1,2026-03-15,Trust,63.0,239
HoneyNest,US-NE,FY26Q1,2026-03-15,Relevance,52.0,230
HoneyNest,US-NE,FY26Q1,2026-03-15,Quality,59.8,319
HoneyNest,US-NE,FY26Q1,2026-03-15,Taste,69.3,218
HoneyNest,US-NE,FY26Q1,2026-03-15,Modernity,39.0,216
HoneyNest,US-NE,FY26Q2,2026-06-15,Trust,63.0,222
HoneyNest,US-NE,FY26Q2,2026-06-15,Relevance,51.7,253
HoneyNest,US-NE,FY26Q2,2026-06-15,Quality,59.9,299
HoneyNest,US-NE,FY26Q2,2026-06-15,Taste,70.5,283
